"","Authors","Title","Year","Source","grp"
"264","J Carruthers","lessons from south africa: war and wildlife protection in the southern sudan, 1917–1921",1997,"Environment and History","D_T_primary"
"267","F Berkes, NJ Turner","knowledge, learning and the evolution of conservation practice for social-ecological system resilience",2006,"Human Ecology","D_T_primary"
"269","C Rupprecht","ready for more-than-human? urban residents' willingness to coexist with animals and plants",2016,"","D_T_primary"
"270","RJ Smith","david m. lavigne, carolyn j. callaghan and richard j. smith",1996,"The Exploitation of Mammal Populations","D_T_primary"
"275","E von Essen, M Allen","the implications of victimhood identity: the case of 'persecution'of swedish hunters",2017,"… Journal for Crime, Justice and Social …","D_T_primary"
"284","KR Jones","wolf mountains: a history of wolves along the great divide",2002,"","D_T_primary"
"291","TJ Gaetano, J Danzy, MS Mtshali, N Theron, ...","mapping correlates of parasitism in wild south african vervet monkeys (chlorocebus aethiops)",2014,"… Journal of Wildlife …","D_T_primary"
"305","GR Pisani, HS Fitch","a survey of oklahoma's rattlesnake roundups",1993,"Kansas Herpetological Society Newsletter","D_T_primary"
"306","A Leopold","a sand county almanac. 1949",1970,"New York: Ballantine","D_T_primary"
"312","J Seeley","in pursuit of the “beast”: tiger hunting as imperial benevolence in colonial korea",0,"OURNAL OF ISTORY Jh","D_T_primary"
"316","CH Gowan","role ambiguity and perceived organizational politics in wolf recovery: washington state wildlife agency personnel perspectives",2016,"","D_T_primary"
"319","JW Grandy","strategies to manage axis and fallow deer at pt. reyes national seashore and environs, including a proposal to designate such deer a cultural and historic …",2008,"","D_T_primary"
"320","C Jerolmack","who's worried about turkeys? how 'organisational silos' impede zoonotic disease surveillance",2013,"Sociology of health & illness","D_T_primary"
"326","RF Nash","island civilization: a vision for human occupancy of earth in the fourth millennium",2010,"Environmental History","D_T_primary"
"328","A Leopold","the ethical sequence",2008,"The Ethics of the Environment","D_T_primary"
"331","T Mosquin, S Rowe","a manifesto for earth",2004,"Biodiversity","D_T_primary"
"347","R Hoogesteijn","manual on the problems of depredation caused by jaguars and pumas on cattle ranches",2001,"Wildlife Conservation Society, Tikal, Guatemala","D_T_primary"
"350","LR Barnett","michigan's war against birds",2010,"The Michigan Historical Review","D_T_primary"
"358","SA Subba","assessing the genetic status, distribution, prey selection and conservation issues of himalayan wolf (canis himalayensis) in trans-himalayan dolpa, nepal",2012,"PDF). Rufford Small Grants Foundation","D_T_primary"
"364","HJ Dumont","biodiversity: a resource with a monetary value?",2005,"Aquatic Biodiversity II","D_T_primary"
"368","KR Jones","restor (y) ing the 'fierce green fire': animal agency, wolf conservation and environmental memory in yellowstone national park",2017,"BJHS Themes","D_T_primary"
"376","GH Orians","thought for the morrow: cumulative threats to the environment",1995,"Environment: Science and Policy for Sustainable …","D_T_primary"
"388","RB Borisch","from: susan gornberg< gombergsusan@ gmail. com",2015,"","D_T_primary"
"391","A Ropiquet, AT Knight, C Born, Q Martins, ...","implications of spatial genetic patterns for conserving african leopards",2015,"Comptes rendus …","D_T_primary"
"398","DS Fita, ECM Neto, A Schiavetti","'offensive'snakes: cultural beliefs and practices related to snakebites in a brazilian rural settlement",2010,"Journal of …","D_T_primary"
"399","J Truett","bison and elk in the american southwest: in search of the pristine",1996,"Environmental Management","D_T_primary"
"406","DJ Read","legitimacy, access, and the gridlock of tiger conservation: lessons from melghat and the history of central india",2016,"Regional Environmental Change","D_T_primary"
"408","D Lowenthal","natural and cultural heritage",2005,"International Journal of Heritage Studies","D_T_primary"
"424","V Sevillano, ST Fiske","warmth and competence in animals",2016,"Journal of Applied Social Psychology","D_T_primary"
"436","E Kuester","the proposed delisting of canis lupus lycaon in the eastern united states: a recovery story in progress",2005,"U. Tol. L. Rev.","D_T_primary"
"443","J Paull","environmental management in tasmania: better off dead?",2011,"Island Futures","D_T_primary"
"445","E Gargallo","a question of game or cattle? the fight against trypanosomiasis in southern rhodesia (1898–1914)",2009,"Journal of Southern African Studies","D_T_primary"
"460","J Carter, J Palmer","dilemmas of transgression: ethical responses in a more-than-human world",2017,"cultural geographies","D_T_primary"
"461","RS Reid, TP Tomich, J Xu, H Geist, A Mather, ...","linking land-change science and policy: current lessons and future integration",2006,"Land-use and land- …","D_T_primary"
"471","RA Maher, ???, ?????A","sowing seeds to save the planet: environmental issues in the poetry of nanao sakaki",2017,"","D_T_primary"
"474","JD MESSERSMITH","magnitude, distribution, and susceptibility",1963,"California Cooperative Oceanic Fisheries …","D_T_primary"
"475","A McBay","definition of civilization",0,"dgrnewsservice.org","D_T_primary"
"479","M Altrichter","factors underlying the interactions between people and wildlife in the argentine chaco",2005,"","D_T_primary"
"484","K GHOSH","walking with wolves: children's reponses to the wolf tradition in stories",2014,"Beyond the Book: Transforming Children's Literature","D_T_primary"
"486","LH Smith","the management of forested national parks in relation to other land use demands",1962,"Australian Forestry","D_T_primary"
"488","L McCain","report from the burrow",2010,"","D_T_primary"
"492","O Oluwole, RA Cheke","health and environmental impacts of pesticide use practices: a case study of farmers in ekiti state, nigeria",2009,"International journal of agricultural …","D_T_primary"
"494","E Katongole","postmodern illusions and the challenges of african theology: the ecclesial tactics of resistance",2000,"Modern Theology","D_T_primary"
"507","A Judge","engaging with the inexplicable, the incomprehensible and the unexpected",2010,"","D_T_primary"
"510","BG Meerburg, FWA Brom, ...","the ethics of rodent control",2008,"Pest management science","D_T_primary"
"523","A Leopold","b holism (ecocentrism)",2010,"Environmental Ethics: The Big Questions","D_T_primary"
"524","DA Jessup","2. hughes kl, slater mr, haller l. the effects of implementing a feral cat spay/neuter program in a florida county animal control service. j appl anim welf sci 2002; …",2006,"Journal of the American Veterinary Medical …","D_T_primary"
"529","C Morgan-Davies, R Wilson, ...","use or delight? history of conflicting hill land uses in scotland–a review",2015,"Scottish Geographical …","D_T_primary"
"532","A Sjoegren, H Matsuda","seeing the wolf through sami eyes–understanding human dimensions of wildlife conflict in northern sweden",0,"j-sustain.com","D_T_primary"
"543","RJ Davidson, VC Kerr","habitats and ecological values of the hokianga",0,"marinenz.org.nz","D_T_primary"
"552","N Quinn","algonquin wildlife: lessons in survival",2002,"","D_T_primary"
"558","J Goldman-Carter","federal conservation of threatened species: by administrative discretion or by legislative standard",1983,"BC Envtl. Aff. L. Rev.","D_T_primary"
"560","E Thatcher","veterinary care of ferrets, raccoons and skunks",1980,"Iowa State University Veterinarian","D_T_primary"
"574","K Bradshaw, B Leonard","virtual parceling",2016,"","D_T_primary"
"583","M Delibes","status and conservation needs of the wolf (canis lupus) in the council of europe member states",1990,"","D_T_primary"
"588","A Rome","nature wars, culture wars: immigration and environmental reform in the progressive era",2008,"Environmental History","D_T_primary"
"589","J Howell","environment and ethics: a new zealand contribution",1986,"","D_T_primary"
"593","A Bath, A Majic","human dimensions in wolf management in croatia",2000,"Report by Large Carnivore Initiative for Europe","D_T_primary"
"595","DW Yalden","mammals in the twentieth century",2010,"Silent Summer: The State of Wildlife in Britain and …","D_T_primary"
"616","O Ratamäki","finland's wolf policy and new governance",2008,"The Journal of Environment & Development","D_T_primary"
"617","ML Winston","nature wars: people vs. pests",1999,"","D_T_primary"
"640","J Hahn","pacific feast: a cook's guide to west coast foraging and cuisine",2010,"","D_T_primary"
"650","JRE Bliese","conservative principles and environmental policies",1997,"Kan. JL & Pub. Pol'y","D_T_primary"
"651","D Lunney","ethics and australian mammalogy: reflections on 15 years (1991–2006) on an animal ethics committee",2012,"Australian Mammalogy","D_T_primary"
"653","JP Moll","western influences on the management of brown bears in hokkaido japan",1994,"","D_T_primary"
"654","WE Stegner","the american west as living space",1987,"","D_T_primary"
"663","A Lazzari","celebrating and reinventing brazil: monarchy and nation in the works of afonso arinos, 1897–1900",2017,"Transnational Histories of the'Royal Nation'","D_T_primary"
"670","????","???????",0,"????????????","D_T_primary"
"683","SR Ellins","living with coyotes: managing predators humanely using food aversion conditioning",2005,"","D_T_primary"
"685","MJ Logsdon, K Hagelstein, T Mudder","the management of cyanide in gold extraction",1999,"","D_T_primary"
"694","T Merton","merton's evolving ecological consciousness",2011,"The Environmental Vision of Thomas Merton","D_T_primary"
"695","H Ginsburg, B Fischer, HC Galloway","fox domestication and pet ownership",2015,"","D_T_primary"
"699","JR Freeman","gods, groves and the culture of nature in kerala",1999,"Modern Asian Studies","D_T_primary"
"700","PH Raven, JA McNeely","biological extinction: its scope and meaning for us",1998,"Protection of global biodiversity: …","D_T_primary"
"712","BL Thomas","antimony: the use, rights, and regulation of laboratory animals",1985,"Pepp. L. Rev.","D_T_primary"
"713","?? ?????????, ?? ???????????","contrastive analysis of zoomorphic phraseology in english, russian and kazakh",2011,"Lingua mobilis","D_T_primary"
"733","B Zeide","assessing biodiversity",1997,"Environmental monitoring and assessment","D_T_primary"
"734","JI Furtado","the future of tropical rain forests in south east asia",1975,"Thirteenth Technical Meeting, Kinshasa, Zaire, 8-17 …","D_T_primary"
"735","R Lindayati","urban agriculture: a survey of academic expertise and programs in canada",1996,"","D_T_primary"
"741","A Amrein-Beardsley","rethinking value-added models in education: critical perspectives on tests and assessment-based accountability",2014,"","D_T_primary"
"742","D Foreman","confessions of an eco-warrior",1991,"","D_T_primary"
"745","L Proyect","the blackfoot and the barbarians",1999,"Organization & Environment","D_T_primary"
"746","L Harold DeWolf","ii christian education for survival on earth",1971,"Religious Education","D_T_primary"
"750","SE Curran","the preservation of the intrinsic: ecosystem valuation in new zealand",2005,"NZJ Envtl. L.","D_T_primary"
"761","MA Fox","humans and other animals",1997,"Island","D_T_primary"
"762","BR Fogg, N Howe, R Pierotti","relationships between indigenous american peoples and wolves 1: wolves as teachers and guides",2015,"Journal of Ethnobiology","D_T_primary"
"763","A Effa","celtic and aboriginal pathways toward a contemporary ecospirituality",2017,"International Bulletin of Mission Research","D_T_primary"
"769","NM Brooks","faux foxes: fox domestication and pet ownership",2015,"","D_T_primary"
"779","TA Hockstad","rats and trees need lawyers too: community responsibility in deodand practice and modern environmentalism",2016,"Vt. J. Envtl. L.","D_T_primary"
"780","JA Cassiday","flash floods, bedbugs and saunas: social hygiene in maiakovskii's theatrical satires of the 1920s",1998,"The Slavonic and East European Review","D_T_primary"
"782","A Zekiros, MS Crofts","africa in social studies textbooks",1978,"","D_T_primary"
"793","RE Beck","a survey of north dakota environmental law",1972,"NDL Rev.","D_T_primary"
"803","RT Hoser","australasian journal of herpetology",2012,"Australasian Journal of herpetology","D_T_primary"
"804","E O'Gorman","the pelican slaughter of 1911: a history of competing values, killing and private property from the coorong, south australia",2016,"Geographical Research","D_T_primary"
"814","D Williamson","from metropolis to wilderness: an empowering journey",2017,"","D_T_primary"
"819","C Freeman","ending extinction: the quagga, the thylacine, and the “smart human”",2009,"Leonardo's Choice","D_T_primary"
"828","BRA Bouckaert, B Groosman","can bartolus save the tiger? reflections on the use of property rights for land-based biodiversity conservation",1999,"Verfassung und Recht in Übersee/Law and …","D_T_primary"
"841","K Jacoby","crimes against nature: squatters, poachers, thieves, and the hidden history of american conservation",2014,"","D_T_primary"
"861","WT Mealor, MC Prunty","open-range ranching in southern florida",1976,"Annals of the Association of American …","D_T_primary"
"863","V Stanescu","the judas pig",2016,"The Ethics and Rhetoric of Invasion Ecology","D_T_primary"
"864","MA Powell","vanishing species, dying races: a history of extinction in america",2013,"","D_T_primary"
"869","G Walters","fire primer for the batéké plateaux, central africa",2007,"","D_T_primary"
"875","G Crethers, N Beatty, C Armstead, C Casapulla, ...","posts tagged 'native americans'",0,"garyrumor.com","D_T_primary"
"882","R Mabey","a good parcel of english soil: the metropolitan line",2013,"","D_T_primary"
"884","W Chaves, JJ DeLuca, MV da Silva, DP da Silva","conservation of threatened wildlife in southwestern amazonia, brazil",0,"conservationleadershipprogramme. …","D_T_primary"
"888","ME Bellanca","american society for eighteenth-century studies (asecs)",2003,"Eighteenth-Century Studies","D_T_primary"
"899","WH Weber III","the centre program for project opportunity.",1967,"","D_T_primary"
"910","PD Hirsch","9. collaborative problem solving in a fractured world: a perspective on the role of global-scale institutions and administrators in the context of climate change",2014,"Public administration in the context of global …","D_T_primary"
"917","Y Guloglu","national and international conservation of biological diversity in terms of administrative law “sample of turkey”",2017,"Genetic Diversity","D_T_primary"
"918","JD Hughes","the mediterranean: an environmental history",2005,"","D_T_primary"
"921","DR Weiner","models of nature: ecology, conservation, and cultural revolution in soviet russia",2000,"","D_T_primary"
"926","E Podhora","lessons for climate change reform from environmental history: 19th century wildlife protection and the 20th century environmental movement",2015,"J. Envtl. L. & Litig.","D_T_primary"
"927","K Skogen, O Krange, H Figari","wolf conflicts: a sociological study",2017,"","D_T_primary"
"930","A Bogomolni, G Early, K Matassa, O Nichols, L Sette","gulf of maine seals-populations, problems and priorities",2010,"","D_T_primary"
"936","MR GEORGE, WJ CLAWSON","the history of uc rangeland extension, research, and teaching: a perspective",0,"researchgate.net","D_T_primary"
"937","V Damodaran","history, landscape, and indigeneity in chotanagpur, 1850–1980",2002,"South Asia: Journal of South Asian Studies","D_T_primary"
"938","J RAMOS?ELORDUY","anthropo?entomophagy: cultures, evolution and sustainability",2009,"Entomological Research","D_T_primary"
"970","E Hemingway","hemingway among the animals",2003,"Practical Ecocriticism: Literature, Biology, and the …","D_T_primary"
"992","M Bomford, P O'Brien","eradication of australia's vertebrate pests: a feasibility study",1995,"… Sustainable Use of Wildlife. University of …","D_T_primary"
"995","RE Marsh","future of pesticides in vertebrate pest control",1981,"Great Plains Wildlife Damage Control …","D_T_primary"
"999","A Bremner, K Park","public attitudes to the management of invasive non-native species in scotland",2007,"Biological conservation","D_T_primary"
"1006","DM Broom","the welfare of vertebrate pests in relation to their management",1999,"Advances in vertebrate pest management","D_T_primary"
"1021","JR Beck","an overview of astm's activities in establishing standards for vertebrate pest control materials",1974,"… of the 6th Vertebrate Pest Conference (1974)","D_T_primary"
"1026","GJ Hickling","success in biological control of vertebrate pests",2000,"Biological Control: Measures of Success","D_T_primary"
"1035","PINNEWS WALES","the impact of vertebrate pests on animal production particularly in new south wales introduction ge robards",0,"asap.asn.au","D_T_primary"
"1036","K Clark","the private sector's involvement in wildlife control",2003,"… OF THE NORTH AMERICAN WILDLIFE AND …","D_T_primary"
"1037","PA Chamberlain, M Caroline, ...","urban vertebrate pest management: a practical approach",1981,"Great Plains Wildlife …","D_T_primary"
"1043","CK Williams","development and use of virus-vectored immunocontraception",1997,"Reproduction, Fertility and Development","D_T_primary"
"1047","WR Marion","urban wildlife: can we live with them?",1988,"Proceedings of the Thirteenth Vertebrate Pest …","D_T_primary"
"1054","SM DeVilliers, DA Hoisington","the trends and future of biotechnology crops for insect pest control",2011,"African Journal of Biotechnology","D_T_primary"
"1055","M Bomford, Q Hart","assessing the risk associated with importing and keeping exotic vertebrates in australia",1999,"Australian Journal of Emergency …","D_T_primary"
"1068","GD BELIOS","mental attitudes during the later phases of a malaria eradication program.",1965,"Israel journal of medical sciences","D_T_primary"
"1073","JK Moore","new biological books reviews and brief notices the comparative anatomy of neurons: homologous neurons in the medial geniculate body of the opossum and the …",1987,"The Quarterly Review of Biology","D_T_primary"
"1080","CD Lees, F Robert Henderson","kansas attitudes on prairie dog control",1989,"Great Plains Wildlife …","D_T_primary"
"1083","J Hadidian","integrated pest management (ipm) for vertebrates: do we need to broaden this concept?",2010,"","D_T_primary"
"1088","EA Kalnicky, MW Brunson, KH Beard","a social–ecological systems approach to non-native species: habituation and its effect on management of coqui frogs in hawaii",2014,"Biological conservation","D_T_primary"
"1093","TP Salmon, DC Stroud","decision-making variables in california ground squirrel management",1985,"… of the Western Section of the …","D_T_primary"
"1097","MW Fisher","appendix i: mark fisher's report on animal ethics issues in the application",0,"epa.govt.nz","D_T_primary"
"1105","M Mdangi, PK Sibuga, AW Massawe, ...","farmers knowledge, attitude and perceptions on the use of locally available plant material to prevent rodent damage to maize crop in eastern tanzania",2016,"African Journal of …","D_T_primary"
"1116","GE Key","control of the african striped ground squirrel, xerus erythropus, in kenya",1990,"Proceedings of the Fourteenth Vertebrate Pest …","D_T_primary"
"1119","PA Horne, M Short, BD Van Praagh, AL Yen","invertebrate conservation and management on private land",1995,"… : Perspectives on Private Land Use and …","D_T_primary"
"1127","R Morrison","rabbit control-does the end justify any means",1996,"… And Vertebrate Pest Control: Proceedings of the …","D_T_primary"
"1129","PA Banks","introduction to crop protection",1980,"","D_T_primary"
"1149","GA Harris","changing philosophies of rangeland management in the united states",1977,"Journal of Range Management","D_T_primary"
"1158","HD Burges","entomopathogenic bacteria: from laboratory to field application: jean-francois charles, armelle delécluse and christina nielsen-leroux (eds.); kluwer …",2003,"","D_T_primary"
"1160","N Becker, D Petri?, C Boase, J Lane, M Zgomba, ...","integrated pest management",2003,"Mosquitoes and Their …","D_T_primary"
"1163","GW Irving","why control pests?",1967,"School Science and Mathematics","D_T_primary"
"1181","R Atwell","nature reserve on the cape flats",1982,"Veld & Flora","D_T_primary"
"1182","JA Duckworth, AE Byrom, P Fisher, C Horn","pest control: does the answer lie in new biotechnologies?",2006,"Biological invasions in new …","D_T_primary"
"1187","R Wilkinson, G Fitzgerald","public perceptions of biological control of rabbits in new zealand: some ethical and practical issues",1997,"Agriculture and Human Values","D_T_primary"
"1190","EE Elliot, S Vallance, LE Molles","coexisting with coyotes (canis latrans) in an urban environment",2016,"Urban ecosystems","D_T_primary"
"1200","WW Kilgore, RL Doutt","pest control: biological, physical, and selected chemical methods",1967,"","D_T_primary"
"1206","PD Christian, TN Hanzlik, DJ Dall, ...","insect viruses: new strategies for pest control",1993,"Molecular Approaches to …","D_T_primary"
"1210","CM King","advances in new zealand mammalogy, 1990–2000: introduction",2001,"","D_T_primary"
"1217","CJ Feare, P Douville de Franssu","the starling in europe: multiple approaches to a problem species",1992,"","D_T_primary"
"1218","JK Kirkwood, AW Sainsbury","ethics of interventions for the welfare of free-living wild animals",1996,"ANIMAL WELFARE-POTTERS BAR-","D_T_primary"
"1223","SL Goldson, GW Bourdôt, EG Brockerhoff, ...","new zealand pest management: current and future challenges",2015,"Journal of the Royal …","D_T_primary"
"1224","HR Segura, JF Barrera, H Morales, A Nazar","farmers' perceptions, knowledge, and management of coffee pests and diseases and their natural enemies in chiapas, mexico",2004,"Journal of economic …","D_T_primary"
"1232","C Pearson","building out pests",1993,"AICCM bulletin","D_T_primary"
"1237","RL RUDD","confirmation and transition—a conservationist's appraisal of present environmental hazards of pesticides",1965,"Symp","D_T_primary"
"1241","TF Chapman","an endangered species that is also a pest: a case study of baudin's cockatoo calyptorhynchus baudinii and the pome fruit industry in south-west western …",2007,"Journal of the Royal Society of Western Australia","D_T_primary"
"1256","PF Entwistle, JS Cory, C Doyle","an overview of insect baculovirus ecology as a background to field release of a genetically manipulated nuclear polyhedrosis virus",1988,"Risk Assessment for Deliberate Releases","D_T_primary"
"1259","PL Pingali","impact of pesticides on farmer health and the rice environment: an overview of results from a multidisciplinary study in the philippines",1995,"Impact of pesticides on farmer health and the rice …","D_T_primary"
"1275","K Bicknell","cost-benefit and cost-effectiveness analyses in pest management",1993,"New Zealand Journal of Zoology","D_T_primary"
"1284","JA Litsinger","29 integrated pest management for rice in asia",1983,"WOMEN IN RICE FARMING","D_T_primary"
"1286","EB Poulton","the experimental proof of the protective value of colour and markings in insects in reference to their vertebrate encmies",1887,"Journal of Zoology","D_T_primary"
"1328","L Braband, K Clark","the critter control concept approaches of a firm specializing in nuisance wildlife control",1987,"","D_T_primary"
"1332","JW Bentley","the epistemology of plant protection: honduran campesino knowledge of pests and natural enemies",1992,"Proceedings of the CTA/NRI Seminar on …","D_T_primary"
"1334","C Schal, RL Hamilton","integrated suppression of synanthropic cockroaches",1990,"Annual review of entomology","D_T_primary"
"1335","V Karthikeyan","studies on neurosychobehavioural toxicodynamics of acetamiprid–a pyridyl methylamine nicotinoid insecticide",2012,"","D_T_primary"
"1350","P OMEGA","this compilation presents current publications pertaining to urban pest control of ants. control papers are a decided minority in this list because of changing …",0,"ars.usda.gov","D_T_primary"
"1351","D Western","the ecological role of elephants in africa",1989,"Pachyderm","D_T_primary"
"1355","A Silva, ES Minor","adolescents' experience and knowledge of, and attitudes toward, bees: implications and recommendations for conservation",2017,"Anthrozoös","D_T_primary"
"1356","BJ Ramsay","commercial use of wild animals in australia.",1994,"","D_T_primary"
"1360","G Saunders, B Cooke, K McColl, R Shine, T Peacock","modern approaches for the biological control of vertebrate pests: an australian perspective",2010,"Biological Control","D_T_primary"
"1361","SB Linhart","furbearer management and the steel foothold trap",1985,"","D_T_primary"
"1373","AT Morzillo, AG Mertig","urban resident attitudes toward rodents, rodent control products, and environmental effects",2011,"Urban Ecosystems","D_T_primary"
"1393","RE Thresher, K Hayes, NJ Bax, J Teem, TJ Benfey, ...","genetic control of invasive fish: technological options and its role in integrated pest management",2014,"Biological …","D_T_primary"
"1397","JR Plimmer","past, present and future of phytosanitary products.",2000,"Informatore Fitopatologico","D_T_primary"
"1409","R Thomas, BT Fothergill","foreword: animals, and their bones, in the 'modern'world: a multi-scalar zooarchaeology",2014,"Anthropozoologica","D_T_primary"
"1411","P Cowan","mammalia pest impacts in new zealand",2007,"Encyclopedia of Pest Management","D_T_primary"
"1421","T Hosaka, S Numata","spatiotemporal dynamics of urban green spaces and human–wildlife conflicts in tokyo",2016,"Scientific reports","D_T_primary"
"1451","JP Parkes, G Nugent, DM Forsyth, ...","past, present and two potential futures for managing new zealand's mammalian pests",2017,"… Zealand Journal of …","D_T_primary"
"1454","J Rancière","aesthetic separation, aesthetic community: scenes from the aesthetic regime of art",2008,"Art & Research","D_T_primary"
"1457","T BALANI","subacute immunotoxicity studies of imidacloprid in white leghorn cockerels",2006,"","D_T_primary"
"1461","SR Kellert","social and perceptual factors in the preservation of animal species",1986,"The preservation of species: The value of biological …","D_T_primary"
"1463","LS Sømme","sentience and pain in invertebrates",2005,"Report to Norwegian Scientific Committee for Food …","D_T_primary"
"1464","C Martin","wildlife diseases as a factor in the depopulation of the north american indian",1976,"Western Historical Quarterly","D_T_primary"
"1469","LJ McLeod, DW Hine, AJ Bengsen","born to roam? surveying cat owners in tasmania, australia, to identify the drivers and barriers to cat containment",2015,"Preventive veterinary medicine","D_T_primary"
"1474","S Gregory, W Henderson, E Smee, ...","eradications of vertebrate pests in australia",2014,"Invasive Animals …","D_T_primary"
"1479","T Van Hook","insect coloration and implications for conservation",1997,"Florida Entomologist","D_T_primary"
"1481","JG Else","nonhuman primates as pests",1991,"Primate responses to environmental change","D_T_primary"
"1482","C Blakey","transported fauna and its effects: new zealand a review of the literature",0,"","D_T_primary"
"1487","JL Hoogland","black-tailed, gunnison's, and utah prairie dogs reproduce slowly",2001,"Journal of Mammalogy","D_T_primary"
"1505","JJ Hickey","new biological books reviews and brief notices ecology of pesticides. awa brown",1979,"The Quarterly Review of Biology","D_T_primary"
"1508","LG Higley","changing perspectives on insects in the 19™ and 20™ centuries",2003,""" Insects"" in oral literature and traditions","D_T_primary"
