"","Authors","Title","Year","Source","grp"
"171","DW Mulhern, CJ Knowles","black-tailed prairie dog status and future conservation planning",1995,"Gen. Tech. Rep. RM-298. Fort …","An_T_primary"
"177","L Case","asas centennial paper: perspectives on domestication: the history of our relationship with man's best friend",2008,"Journal of animal science","An_T_primary"
"179","R Neumann","disciplining peasants in tanzania: from state violence to self-surveillance in wildlife conservation",2001,"Violent environments","An_T_primary"
"180","H Wittenberg","the pregnant man: race, difference and subjectivity in alan paton's kalahari writing",2010,"English Academy Review","An_T_primary"
"185","RH Schmidt, RM Timm","bad dogs: why do coyotes and other canids become unruly?",2007,"","An_T_primary"
"186","A Leopold","the land ethic",1948,"","An_T_primary"
"188","AE Weiss, T Kroeger, JC Haney, ...","social and ecological benefits of restored wolf populations",2007,"… North American Wildlife …","An_T_primary"
"192","A Tierney","can cites prevent the tiger being worshipped to death in china",1998,"Asia Pac. J. Envtl. L.","An_T_primary"
"199","K JONES","national parks and the wolf",2006,"Environment","An_T_primary"
"200","MK Koech","environmental education and decision making",1990,"Environmental education and sustainable …","An_T_primary"
"226","A Zedrosser, B Dahle, JE Swenson, N Gerstl","status and management of the brown bear in europe",2001,"Ursus","An_T_primary"
"236","J Mannesto","the truth about wolves",2002,"Science and Children","An_T_primary"
"256","P Scott","species extinction in birds",1973,"Bird Study","An_T_primary"
"261","F Wenstøp","a value structured approach to conflicts in environmental management",2012,"","An_T_primary"
"272","S Herrero","conflicts between man and grizzly bears in the national parks of north america",1976,"Bears: Their Biology and Management","An_T_primary"
"292","RD Pastuck","some aspects of the ecology of the coyote (canis latrans say) in southwestern manitoba",1974,"","An_T_primary"
"297","E Kohak","romance, reason, and poetry in ecological philosophy",2011,"Environmental Political Philosophy","An_T_primary"
"329","LNH Verbrugge, RJG Van den Born, ...","exploring public perception of non-native species from a visions of nature perspective",2013,"Environmental …","An_T_primary"
"330","RTT Forman","12. the ethics of isolation, the spread of disturbance, and landscape ecology",1987,"Landscape heterogeneity and disturbance","An_T_primary"
"335","A Cooperrider","3 conservation of biodiversity",1991,"Landscape Linkages and Biodiversity","An_T_primary"
"339","RL Smith","ecological genesis of endangered species: the philosophy of preservation",1976,"Annual Review of Ecology and Systematics","An_T_primary"
"343","W Willard","flyover country",1994,"","An_T_primary"
"349","K Jones","'a fierce green fire': passionate pleas and wolf ecology",2002,"Ethics, Place & Environment","An_T_primary"
"355","EOFI UNGULATES","literature review: ecology and management of thar, chamois and other introduced ungulates",1997,"… for the Degree of Doctor of …","An_T_primary"
"357","H Stadler","historical perspective on the development of problem animal management in the cape province",2006,"… on holistic management of human-wildlife conflict in the …","An_T_primary"
"373","K Jones","never cry wolf: science, sentiment, and the literary rehabilitation of canis lupus",2003,"Canadian historical review","An_T_primary"
"375","R Adam, J Schaffner","international law and wildlife well-being: moving from theory to action",2017,"Journal of International Wildlife Law & Policy","An_T_primary"
"380","R Hoser","a reclassification of the rattlesnakes; species formerly exclusively referred to the genera crotalus and sistrurus",2009,"Australasian Journal of Herpetology","An_T_primary"
"386","J Alder, D Wilkinson","introduction—environmental perspectives",1999,"Environmental Law and Ethics","An_T_primary"
"396","S Pavlik","will big trotter reclaim his place? the role of the wolf in navajo tradition",2000,"American Indian culture and research journal","An_T_primary"
"415","S Malaivijitnond, Y Vazquez, ...","human impact on long-tailed macaques in thailand",2011,"Monkeys on the edge: …","An_T_primary"
"419","J Carruthers","conservation and wildlife management in south african national parks 1930s–1960s",2008,"Journal of the History of Biology","An_T_primary"
"425","HN Kopnina","animal images: exploration of non-human representation in dutch newspapers",2016,"Antennae","An_T_primary"
"430","G Lupp, F Höchtl, W Wende","“wilderness”–a designation for central european landscapes?",2011,"Land use policy","An_T_primary"
"449","TR Peterson, CC Horton","the quarterly journal of speech",1995,"QUARTERLY JOURNAL OF SPEECH","An_T_primary"
"454","L Llaneza, EJ García, V Palacios, V Sazatornil, ...","resting in risky environments: the importance of cover for wolves to cope with exposure risk in human-dominated landscapes",2016,"Biodiversity and …","An_T_primary"
"459","P Chaiyawat, C Channo, W Sriratanasak","bph continues to threaten thai rice farmers-heavy losses expected",2011,"Ricehoppers. net","An_T_primary"
"464","I Parer, G Milkovits","recolonisation by rabbits (oryctolagus cuniculus) after warren ripping or warren fumigation.",1994,"The Rangeland Journal","An_T_primary"
"481","PM Dobra","cetaceans: a litany of cain",1978,"BC Envtl. Aff. L. Rev.","An_T_primary"
"498","M Pyrovetsi","conservation versus exploitation in a developing country",1985,"Economics of ecosystems management","An_T_primary"
"505","I Douglas","the city as an ecosystem",1981,"Progress in Physical Geography","An_T_primary"
"513","SF Stringham, LL Rogers","fear of humans by bears and other animals (anthropophobia): how much is natural?",2017,"","An_T_primary"
"522","D Rondeau, JM Conrad","managing urban deer",2003,"American Journal of Agricultural …","An_T_primary"
"527","R Finch","nature in the nuclear age",1990,"New England Review and Bread Loaf Quarterly","An_T_primary"
"534","RH Keller","william o. douglas, the supreme court, and american indians",1975,"American Indian Law Review","An_T_primary"
"542","R Krithivasan, V Athreya, M Odden","human-wolf conflict in human dominated landscapes of ahmednagar district, maharashtra",2009,"Rufford Small Grants Foundation for …","An_T_primary"
"547","A de Vos","specific environmental problems",1975,"Africa, the Devastated Continent?","An_T_primary"
"548","JG Papaioannou",""" new ethics"" and the environment",1991,"Ekistics","An_T_primary"
"554","R Conant, JT Collins","a field guide to reptiles & amphibians: eastern and central north america",1998,"","An_T_primary"
"561","F Yuk-wa Law","fabulating animals–human affinity: towards an ethics of care in monster hunt and mermaid",2017,"Journal of Chinese Cinemas","An_T_primary"
"562","V Haskins, J Maynard","sex, race and power: aboriginal men and white women in australian history",2005,"Historical Studies","An_T_primary"
"568","J Parkes, E Murphy","management of introduced mammals in new zealand",2003,"New Zealand Journal of Zoology","An_T_primary"
"571","SL Camp","from nuisance to nostalgia: the historical archaeology of nature tourism in southern california, 1890–1940",2013,"Historical Archaeology","An_T_primary"
"584","MA Powell","pestered with inhabitants",2015,"Pacific Historical Review","An_T_primary"
"591","TE Sheridan","embattled ranchers, endangered species, and urban sprawl: the political ecology of the new american west",2007,"Annu. Rev. Anthropol.","An_T_primary"
"596","WM Tsutsui","looking straight at them! understanding the big bug movies of the 1950s",2007,"Environmental History","An_T_primary"
"604","I Maudlin","african trypanosomiasis",2006,"Annals of Tropical Medicine & Parasitology","An_T_primary"
"608","MG Hengesbaugh","creatures of habitat: the changing nature of wildlife and wild places in utah and the intermountain west",2001,"","An_T_primary"
"614","BJ Eagle","best undergraduate dissertations of 2014",2014,"","An_T_primary"
"625","S Durkstra","the war of the worlds-postcolonialism, americanism, and terrorism in modern science fiction film.",2015,"","An_T_primary"
"627","L Balciauskas, M Kazlauskasa, ...","lynx acceptance in poland, lithuania, and estonia/suhtumisest ilvesesse poolas, leedus ja eestis",2010,"Estonian Journal of …","An_T_primary"
"630","LP Butt","not so black and white: panda conservation, bile farming and the conflict between cultural traditions and modern values in china",2013,"","An_T_primary"
"637","E Thompson","russian literature and imperialism: the late soviet and early post-soviet periods'",2000,"Reconstructing the Canon: Russian Writing in the …","An_T_primary"
"641","SA Murray","working for water's' alienbusters': material and metaphoric campaigns against'alien invaders'",2005,"Critical Arts: A Journal of South-North Cultural and …","An_T_primary"
"645","SD Casto","texas sportsmen and the conservation of bird life, 1890-1915",2006,"East Texas Historical Journal","An_T_primary"
"647","RS Buseck, DA Keinath, E Everett","species assessment for black-tailed prairie dog (cynomys ludovicianus) in wyoming",2005,"… of the Interior, Bureau of Land …","An_T_primary"
"655","PD Barclay","a'curious and grim testimony to a persistent human blindness': wolf bounties in north america, 1630-1752",2002,"Ethics, Place & Environment","An_T_primary"
"662","KN Henriksen","species extinction: a growing concern: honors thesis [(honrs 499)]",1989,"","An_T_primary"
"665","J Rodman","i. the liberation of nature??",1977,"Inquiry","An_T_primary"
"667","RT Hoser","a reclassification of the rattlesnakes; species formerly exclusively referred to the genera crotalus and sistrurus and a division of the elapid genus micrurus",2012,"Australasian Journal of herpetology","An_T_primary"
"673","E Couzens","cites at forty: never too late to make lifestyle changes",2013,"Review of European, Comparative & International …","An_T_primary"
"684","DE Oakman","the idea of a twenty-first century university: new world a-coming",2005,"Prism","An_T_primary"
"687","C Jerolmack, R Craft, J Ordner","interview with colin jerolmack",2010,"Social Thought & Research","An_T_primary"
"690","M Gadgil, NS Hemam, BM Reddy","people, refugia and resilience",1998,"Linking social and ecological …","An_T_primary"
"697","D HULME","community conservation research in africa",0,"hummedia.manchester.ac.uk","An_T_primary"
"702","SJ Bartlett","roots of human resistance to animal rights: psychological and conceptual blocks",2002,"Animal L.","An_T_primary"
"705","B Fahy","… the nrdc's montana “wolf stamp” must be stopped by brooks fahy on august 14, 2014· 244 comments· in advocacy, montana, montana wolves, wildlife …",0,"thewildlifenews.com","An_T_primary"
"706","J Robinson","hunting for sustainability in tropical forests",2000,"","An_T_primary"
"707","J Peyton","corporate ecology: bc hydro's stikine-iskut project and the unbuilt environment",2011,"Journal of Historical Geography","An_T_primary"
"715","E Brown","the legend of eliza frazer: a survey of the sources",1994,"Journal of the Royal Historical Society of …","An_T_primary"
"716","C Freeman","in every respect new",2010,"","An_T_primary"
"717","CH Fox, M Bekoff","jack turner",0,"wolfbook.org","An_T_primary"
"721","CR Warren","perspectives on thealien'versusnative'species debate: a critique of concepts, language and practice",2007,"Progress in Human Geography","An_T_primary"
"727","E Swenson, S Wilson, C Jean","stances with wolves",0,"minds.wisconsin.edu","An_T_primary"
"739","J McDonald","'we do not know who painted our pictures': child transfers and cultural genocide in the destruction of cape san societies along the cape colony's north-eastern …",2016,"Journal of Genocide Research","An_T_primary"
"749","N Nattrass, B Conradie","jackal narratives and predator control in the karoo, south africa",2013,"","An_T_primary"
"764","S Anderson","animal ethics between theory and praxis",2016,"","An_T_primary"
"767","JA Shelton","killing animals that don't fit in: moral dimensions of habitat restoration",2004,"Between the species","An_T_primary"
"768","CW Fawcett","vanishing wildlife and federal protective efforts",1971,"Ecology LQ","An_T_primary"
"777","G Bromage","llamas and alpacas: a guide to management",2013,"","An_T_primary"
"781","CA O'Neill","restoration affecting native resources: the place of native ecological science",2000,"Ariz. L. Rev.","An_T_primary"
"787","R Andersen, JDC Linnell, H Hustad, ...","large predators and human communities in norway",2003,"A guide to coexistence for …","An_T_primary"
"795","B Smith","cunning or clever?",2015,"The Dingo Debate: Origins, Behaviour and …","An_T_primary"
"801","N Bailey, BCT Force","global and historical perspectives on market hunting: implications for the african bushmeat",2000,"","An_T_primary"
"817","SE Riley","the wolf at the door: competing land use values on military installations",1996,"Mil. L. Rev.","An_T_primary"
"840","DM Eric","sacrificing sacrifice to self-sacrifice",2017,"","An_T_primary"
"843","C Hartshorne","the rights of the subhuman world",1979,"Environmental Ethics","An_T_primary"
"844","P Robertson","national recovery plan",0,"environment.gov.au","An_T_primary"
"851","J Linnell, R Andersen, Z Andersone, L Balciauskas, ...","the fear of wolves: a review of wolf attacks on humans",2002,"","An_T_primary"
"854","CA Tisdell","economics of environmental conservation",2005,"","An_T_primary"
"858","E Hakimzumwami","community wildlife management in central africa: a regional review",2000,"","An_T_primary"
"865","J Horrocks, SM Cave Hill","distribution, abundance and issues affecting the status of selected vertebrates in barbados",1997,"Department of Biological and …","An_T_primary"
"874","C Watson","unloved and endangered animals: what you can do",2010,"","An_T_primary"
"877","ME Soulé","reinventing nature?: responses to postmodern deconstruction",1995,"","An_T_primary"
"879","DMJS Bowman","the impact of aboriginal landscape burning on the australian biota",1998,"The New Phytologist","An_T_primary"
"885","S Houser, V Teller, M MacCracken, R Gough, ...","potential consequences of climate variability and",0,"Native …","An_T_primary"
"887","KA Kocisky","evaluating residents' willingness to pay and volunteer for urban street trees on logan square's historic green boulevards in chicago",2016,"","An_T_primary"
"892","M Copeland","cockroach",2003,"","An_T_primary"
"893","A Keul","embodied encounters between humans and gators",2013,"Social & Cultural Geography","An_T_primary"
"903","AM Peterson","problematizing socio-scientific issues: an approach to understanding student decision-making using construal level theory",2017,"","An_T_primary"
"904","JW Kindt","a summary of issues involving marine mammals and highly migratory species",1984,"Akron L. Rev.","An_T_primary"
"919","AV Minnaar","nagana, big-game drives and the zululand game reserves (1890s-1950s)",1989,"","An_T_primary"
"920","U Bardi","managing collapse",2017,"The Seneca Effect","An_T_primary"
"925","B Luke","justice, caring, and animal liberation",2007,"The feminist care tradition in animal ethics","An_T_primary"
"939","ID Rotherham","future nature and the consequences of recombination",2017,"Recombinant Ecology-A Hybrid Future?","An_T_primary"
"944","A Sandberg","conditions for community-based governance of biodiversity",1999,"NF-Rapport (Norway)","An_T_primary"
"949","RK Hitchcock, WA Babchuk","genocide of khoekhoe and san peoples of southern africa",2011,"Genocide of Indigenous Peoples: A …","An_T_primary"
"952","A Leopold","for the health of the land: previously unpublished essays and other writings",2001,"","An_T_primary"
"958","DR Anderson","the woman with the tricorn hat: political theory and ecological imagery in marianne moore's poetry",1998,"Journal of Modern Literature","An_T_primary"
"962","KJ Lindsey","a national assessment of wildlife information transfer to the public",2004,"","An_T_primary"
"964","MJ Moorkoth","clacso# 8",0,"biblioteca.clacso.edu.ar","An_T_primary"
"968","SL Ordeman","analysis of three types of sources to determine the existence of native bees in historical san francisco, east bay area",2011,"","An_T_primary"
"973","L Hughes","the no-nonsense guide to indigenous peoples",2003,"","An_T_primary"
"984","H Frings","sound in vertebrate pest control",1964,"","An_T_primary"
"989","G Coleman","assessing public attitudes to vertebrate pest control",2003,"Proceedings of the RSPCA Scientific Seminar","An_T_primary"
"996","J Hall, W Binney, S Ali","benchmarking. stakeholder responsibilities, attitudes and behaviours: the marketing of landcare and pest control …",0,"","An_T_primary"
"998","M Bomford, Q Hart","non-indigenous vertebrates in australia",2002,"","An_T_primary"
"1008","JJF Barr, PWW Lurz, MDF Shirley, ...","evaluation of immunocontraception as a publicly acceptable form of vertebrate pest species control: the introduced grey squirrel in britain as an example",2002,"Environmental …","An_T_primary"
"1013","RG Clark, RD Titman, JR Bider","attitudes of canadians toward the control of red-winged blackbirds",1979,"Bird Control Seminars …","An_T_primary"
"1015","LMP Ceríaco","human attitudes towards herpetofauna: the influence of folklore and negative values on the conservation of amphibians and reptiles in portugal",2012,"Journal of Ethnobiology and …","An_T_primary"
"1024","SC Frantz, JP Comings, DL Roter","photonovels produced by client/professional partnerships: an educational approach to commensal vertebrate ipm",1988,"","An_T_primary"
"1051","RM Timm","trends in wildlife damage management in north america",2005,"Outlooks on Pest Management","An_T_primary"
"1057","WE Howard","a philosophy of vertebrate pest control",1976,"… of the 7th Vertebrate Pest Conference (1976)","An_T_primary"
"1060","SW Lee, SJ Suh, DA Kim, KH Choi, DH Lee, ...","questionnaire on status and opinions on pest control for apple growers and related groups.",1996,"RDA Journal of …","An_T_primary"
"1062","G SAUNDERS, B COMAN, J KINNEAR, M BRAYSHER","managing vertebrate pests",0,"","An_T_primary"
"1072","P JONES","pesticides, scientists, farmers, and the public: no"" white knight"" rescue in sight",1988,"Proceedings of the Thirteenth Vertebrate Pest …","An_T_primary"
"1082","R Pal","new biological books reviews and brief notices the screwworm problem. evolution of resistance to biological control. rh richardson",1979,"The Quarterly Review of Biology","An_T_primary"
"1090","D Bajomi, Z Kiss, Y Nagai","40 years of rat control in budapest: the importance of sewer treatments for effective rat control in urban areas",2013,"International Pest Control","An_T_primary"
"1091","MT Lakshminarayan, SB Yogananda, ...","attitude of tomato farmers towards integrated pest management practices.",2013,"Mysore Journal of …","An_T_primary"
"1095","G Oogjes","ethical aspects and dilemmas of fertility control of unwanted wildlife: an animal welfarist's perspective",1997,"Reproduction, Fertility and Development","An_T_primary"
"1099","JB Bourne","norway rat exclusion in alberta",1998,"","An_T_primary"
"1108","B Miller, G Ceballos, R Reading","the prairie dog and biotic diversity",1994,"Conservation biology","An_T_primary"
"1113","DA Whisson","the dynamics of vertebrate pest management and research",2010,"… 2010: Proceedings of the Twenty-fourth Vertebrate …","An_T_primary"
"1115","M FRIEND, DO TRAINER","some effects of sublethal levels of insecticides on vertebrates",1970,"Journal of wildlife diseases","An_T_primary"
"1120","DT Saggers","1977 british crop protection conference-pests and diseases",0,"Taylor & Francis","An_T_primary"
"1124","AD Webber","assessing the impact of domestic goat (capra hircus) damage upon maize yield in a ugandan subsistence farming context",2010,"International journal of pest management","An_T_primary"
"1125","G Stansfield","conservation and storage: zoological collections",2012,"","An_T_primary"
"1128","M Braun, R Buyer, C Randler","cognitive and emotional evaluation of two educational outdoor programs dealing with non-native bird species.",2010,"International Journal of Environmental and …","An_T_primary"
"1132","F Gherardi","public perception of invasive alien species in mediterranean europe",2011,"… plants and animals: Human perceptions, attitudes …","An_T_primary"
"1133","I Thurlow","environmental control consultants (1981) ltd, po box 2425, stn. d, ottawa, ontario, canada kip 5w5",0,"Conference and Training V Workshop","An_T_primary"
"1135","AR Burk","trends in biodiversity research",2005,"","An_T_primary"
"1139","MW Fall, WB Jackson","a new era of vertebrate pest control? an introduction",1998,"International biodeterioration & biodegradation","An_T_primary"
"1140","FF Knowlton, LC Stoddart, RL Crabtree, ...","evaluation of some radioisotopes as marking agents for monitoring bait consumption",1989,"Vertebrate Pest Control …","An_T_primary"
"1151","FPBNS Charles","fd cosmet. toxicol vol. 9, pp. 869-875. pergamon press 1971. printed in great britain",0,"","An_T_primary"
"1161","RJ YAdkins, D DRoby, L BAYLISS, P JLoschl","society for northwestern vertebrate biology and washington chapter of the wildlife society, held at the wesley inn, gig …",2011,"Northwestern Naturalist","An_T_primary"
"1166","JC Miller","insect natural history, multi-species interactions and biodiversity in ecosystems",1993,"Biodiversity and Conservation","An_T_primary"
"1180","V Nistreanu, A Timu?","terrestrial vertebrate species from the three editions of „the red book of the republic of moldova”: limiting factors and protection measures",2017,"","An_T_primary"
"1195","RRN Alves, KS Vieira, GG Santana, WLS Vieira, ...","a review on human attitudes towards reptiles in brazil",2012,"Environmental …","An_T_primary"
"1196","B Jones, T Sharp, J Norris","welfare considerations for cat management",2015,"2015 National Feral Cat Management …","An_T_primary"
"1202","K Williams-Guillén, E Olimpi, B Maas, PJ Taylor, ...","bats in the anthropogenic matrix: challenges and opportunities for the conservation of chiroptera and their ecosystem services in agricultural landscapes",2016,"Bats in the …","An_T_primary"
"1207","J Eilenberg","concepts and visions of biological control",2006,"An ecological and societal approach to biological …","An_T_primary"
"1219","FM Muñoz","other comments on languages",2017,"Zoology","An_T_primary"
"1222","EJ Roberts, PB McLeod, ...","contingent valuation analysis of government provision of agricultural protection services",1992,"International Journal of …","An_T_primary"
"1227","MA McCollough","conservation of invertebrates in maine and new england: perspectives and prognoses",1997,"Northeastern Naturalist","An_T_primary"
"1238","JD Coleman","northland regional council's regional management strategy for vertebrate pests œ a review",2007,"","An_T_primary"
"1243","DC UoAJufoop","the probe",1985,"Probe","An_T_primary"
"1248","JE Swift","the president's science advisory committee report on the use of pesticides and the university of california's policy on research and extension associated with …",1964,"Residue Reviews/Rückstands-Berichte","An_T_primary"
"1249","JW Bentley","alternatives to pesticides in central america: applied studies of local knowledge",1992,"Culture, Agriculture, Food and Environment","An_T_primary"
"1258","MJ Dorrance","a philosophy of problem wildlife management",1983,"Wildlife Society Bulletin (1973-2006)","An_T_primary"
"1261","PA Robertson, T Adriaens, X Lambin, ...","the large?scale removal of mammalian invasive alien species in northern europe",2017,"Pest management …","An_T_primary"
"1263","NL Teik","plant resources and botanical insecticides",1999,"ASEAN JOURNAL ON SCIENCE AND TECHNOLOGY …","An_T_primary"
"1265","M Richmond","land animals",1973,"Annals of the New York Academy of Sciences","An_T_primary"
"1266","JN Jimenez, P Lindemann-Matthies","public knowledge of, and attitudes to, frogs in colombia",2015,"Anthrozoös","An_T_primary"
"1267","HW Battermann, HH Steinmann, ...","plant protection documentation: an empirical analysis.",2009,"OGA Jahrbuch-Journal of …","An_T_primary"
"1270","DW Macdonald","a questionnaire survey of farmers' opinions and actions towards wildlife on farmlands",1984,"Agriculture and the environment","An_T_primary"
"1276","A Leopold","game and wild life conservation",1932,"The Condor","An_T_primary"
"1277","M Shelomi","we are all gmos",2016,"Skeptical Inquirer","An_T_primary"
"1278","GL Piper","college station, texas",2013,"Perspectives in Urban Entomology","An_T_primary"
"1289","G Tamayo, WF Nader, ...","biodiversity for bioindustries",1997,"…","An_T_primary"
"1292","KS Yin, WW Wu, HH Xu, ZX Guo, CX He, ...","survey of farmers management practices on disease and pests of vegetables and flowers in dianchi district of kunming.",2009,"… China Journal of …","An_T_primary"
"1293","HO Sintim","a comparative analysis of two traps in estimating cockroach prevalence in public buildings in a tropical region",0,"researchgate.net","An_T_primary"
"1297","SK Krause, DA Kelt, DH Van Vuren","invasion, damage, and control options for eastern fox squirrels",2010,"Proceedings of the Vertebrate Pest Conference","An_T_primary"
"1301","JE Miller","the role of usda in animal damage control",1982,"… of the Tenth Vertebrate Pest Conference (1982)","An_T_primary"
"1310","C Thamban, P Anithakumari, S Arulraj, ...","perception of coconut farmers about the plant protection measures against eriophyid mite.",2000,"Indian Coconut …","An_T_primary"
"1317","RA Mcdonald, S Harris","the use of fumigants and anticoagulant rodenticides on game estates in great britain",2000,"Mammal Review","An_T_primary"
"1318","S MATAN","vve are all gmos",0,"researchgate.net","An_T_primary"
"1324","SR Kellert","the biological basis for human values of nature",1993,"The biophilia hypothesis","An_T_primary"
"1326","CE Knote","stopping house mice building infestations through exterior control",1988,"","An_T_primary"
"1333","J Andrew, B Jickling, I Robottom","ethics, education and wildlife issues",1996,"International Research in …","An_T_primary"
"1339","J Wickham","third urban entomology conference.",1990,"International Pest Control","An_T_primary"
"1346","C Lever","vertebrate animal introductions",2010,"Silent Summer: The State of the Wildlife in Britain and …","An_T_primary"
"1353","SE Williams, M Van Noordwijk, E Penot, JR Healey, ...","on-farm evaluation of the establishment of clonal rubber in multistrata agroforests in jambi, indonesia",2001,"Agroforestry …","An_T_primary"
"1354","DE Wildt","lions, tigers, and pandas, oh my",2005,"Journal of andrology","An_T_primary"
"1368","H Berg","pesticide use in rice and rice–fish farms in the mekong delta, vietnam",2001,"Crop Protection","An_T_primary"
"1370","RL Metcalf","agricultural chemicals in relation to environmental quality: insecticides today and tomorrow",1972,"Journal of Environmental Quality","An_T_primary"
"1376","C Weser, JG Ross","the effect of colour on bait consumption of kea (nestor notabilis): implications for deterring birds from toxic baits",2013,"New Zealand Journal of Zoology","An_T_primary"
"1380","G MacDonald","malaria and its control for planters and miners.",1957,"Malaria and its Control for Planters and Miners.","An_T_primary"
"1383","AES FORD?THOMPSON, C Snell, ...","stakeholder participation in management of invasive vertebrates",2012,"Conservation …","An_T_primary"
"1390","FH Besthorn","deep ecological 'insectification': integrating small friends with social work",2014,"Animals in Social Work","An_T_primary"
"1400","G Elliott, J Kemp","large?scale pest control in new zealand beech forests",2016,"Ecological Management & Restoration","An_T_primary"
"1414","JE Perez, K Rylander","hybridization and its effect on species richness in natural habitats",1998,"INTERCIENCIA-CARACAS-","An_T_primary"
"1439","DS Karp, S Judson, GC Daily, ...","molecular diagnosis of bird-mediated pest consumption in tropical farmland",2014,"…","An_T_primary"
"1448","P Leyhausen","human nature and modern society",1969,"Social Research","An_T_primary"
"1455","T Vuorisalo, K Talvitie, K Kauhala, A Bläuer, ...","urban red foxes (vulpes vulpes l.) in finland: a historical perspective",2014,"Landscape and Urban …","An_T_primary"
"1460","M Vane, HAC Runhaar","public support for invasive alien species eradication programs: insights from the netherlands",2016,"Restoration Ecology","An_T_primary"
"1465","T Van Hook","the conservation challenge in agriculture and the role of entomologists",1994,"Florida Entomologist","An_T_primary"
"1467","J Still","use of animal products in traditional chinese medicine: environmental impact and health hazards",2003,"Complementary therapies in medicine","An_T_primary"
