"","Authors","Title","Year","Source","grp"
"377","JC Noble, GH Pfitzner",""" they know not what they do""—on william rodier and his mission to exterminate rabbits and other vertebrate pests",2002,"Historical records of Australian science","A_D_primary"
"384","N Holm","consider the possum: foes, anti-animals, and colonists in paradise",2015,"Animal Studies Journal","A_D_primary"
"389","G Killan","protected places: a history of ontario's provincial parks system",1993,"","A_D_primary"
"394","VK Saberwal","people, parks, and wildlife: towards coexistence",2001,"","A_D_primary"
"409","T Jetson","a greening of the cradle-mountain-lake st clair national park's history [paper presented to a tasmanian historical research association meeting on 18 february …",1998,"Papers and Proceedings: Tasmanian Historical …","A_D_primary"
"414","JB Theberge","wolf management in canada through a decade of change",1973,"… NEW SERIES Supplementary Paper No 43","A_D_primary"
"418","SB Ale","'have snow leopards ''made a comeback to the everest region of nepal?",2005,"report submitted to International Snow Leopard …","A_D_primary"
"439","AW White","rzsnsw. org. au help",0,"publications.rzsnsw.org.au","A_D_primary"
"446","J Beatty","stop the hate! tree of liberty patriot's fascism end the fed",0,"whitelocust.wordpress.com","A_D_primary"
"457","PD Hirsch, BG Norton","thinking like a planet",2012,"… to climate change: human virtue of the …","A_D_primary"
"458","W Leiss, M Westphal, MG Tyshenko, ...","challenges in managing the risks of chronic wasting disease",2017,"… Journal of Global …","A_D_primary"
"468","C Hendershot","anti-communism and ambivalence in"" red planet mars, invasion usa"", and"" the beast of yucca flats""",2001,"Science Fiction Studies","A_D_primary"
"469","W Scholtz","injecting compassion into international wildlife law: from conservation to protection?",2017,"Transnational Environmental Law","A_D_primary"
"480","RL King","talk, speech, and dialogue",1998,"","A_D_primary"
"482","D MacCann",""" standing on the wrong side"": bias and ambivalence in lauren st. john's african books",2010,"Children's Literature Association Quarterly","A_D_primary"
"489","A Fitzsimmons","ecological confusion among the clergy",2000,"Journal of Markets and Morality","A_D_primary"
"497","JS Furphy","the sectoral impact: european rules and a changing environment",2000,"Living with the European Union","A_D_primary"
"499","CAJ Coady","the religious perspective",2009,"Human Enhancement","A_D_primary"
"503","L Berger, R Speare, A Hyatt","chytrid fungi and amphibian declines: overview, implications and future directions",1999,"Declines and disappearances of …","A_D_primary"
"511","M Nikolajeva","devils, demons, familiars, friends: toward a semiotics of literary cats",2009,"Marvels & Tales","A_D_primary"
"514","D Mosweunyane","brutal development agenda by political panjandrums in botswana: how ckgr evictions massacred the native citizens (basarwa) through hiv/aids",0,"netjournals.org","A_D_primary"
"515","I Mason","one in all: principles and characteristics of earth jurisprudence",2011,"Exploring wild law: The philosophy of earth …","A_D_primary"
"519","J O'Brien","saving the common hamster (cricetus cricetus) from extinction in alsace (france): potential flagship conservation or an exercise in futility?",2015,"Hystrix, the Italian Journal of Mammalogy","A_D_primary"
"531","RM Pyle","conservation of lepidoptera in the united states",1976,"Biological Conservation","A_D_primary"
"533","R Utt","trophic cascades and conservation:? analyzing the san juan national forest as a potential extension of the mexican gray wolf recovery program",2017,"","A_D_primary"
"541","M Nursey-Bray, H Marsh, H Ross","exploring discourses in environmental decision making: an indigenous hunting case study",2010,"Society and Natural Resources","A_D_primary"
"545","D Narvaez","proof cover sheet",0,"researchgate.net","A_D_primary"
"549","L Bordson, LL Barnes","environmental novels: an annotated bibliography",2007,"WMRC Library Reference Guide","A_D_primary"
"551","JF Mudge","the roles porcupine (erethizon dorsatum) populations within a human dominated landscape",2005,"","A_D_primary"
"553","BJ Huntley","24 south africa's experience regarding alien species: impacts and controls",2001,"Invasive Species and Biodiversity Management","A_D_primary"
"559","S Kennedy","jim crow guide to the usa: the laws, customs and etiquette governing the conduct of nonwhites and other minorities as second-class citizens",2011,"","A_D_primary"
"563","EH Schafer","the conservation of nature under the t'ang dynasty",1962,"Journal of the Economic and Social …","A_D_primary"
"566","S Shresth","sahibs and shikar: colonial hunting and wildlife in british india, 1800-1935",2009,"","A_D_primary"
"569","R Garner","animal rights: the changing debate",2016,"","A_D_primary"
"573","S BARZILAI","chapter eight unfabulating a fable, or two readings of “thylacine ragout”",2009,"Once upon a Time: Myth, Fairy Tales and Legends …","A_D_primary"
"576","J Hillier, J Byrne","is extermination to be the legacy of mary gilbert's cat?",2016,"Organization","A_D_primary"
"582","R Sollund","with or without a license to kill: human-predator conflicts and theriocide in norway",2015,"… crime and social conflict: Contemporary and …","A_D_primary"
"586","HJ Lutz","ecological effects of forest fires in the interior of alaska",1956,"","A_D_primary"
"592","EE Ezebilo","willingness to pay for biological diversity conservation in simbu province, papua new guinea",2006,"","A_D_primary"
"603","J Hillier, J Byrne","organization, may 2016; vol. 23, 3: pp. 387-406.",2016,"Organization","A_D_primary"
"605","M Ming, P Ding, W Li, Y Chen, B Hu","breeding ecology and survival status of the golden eagle in china.",2010,"Raptors Conservation","A_D_primary"
"619","A Zabel, BE Roe","performance payments for environmental services: lessons from economic theory on the strength of incentives in the presence of performance risk and performance …",2009,"","A_D_primary"
"621","GF Maggio","inter/intra-generational equity: current applications under international law for promoting the sustainable development of natural resources",1996,"Buff. Envtl. LJ","A_D_primary"
"624","II Choi","the indians are getting uppity©",0,"dickshovel.com","A_D_primary"
"628","J Carruthers","wilding the farm or farming the wild? the evolution of scientific game ranching in south africa from the 1960s to the present",2008,"Transactions of the Royal Society of South Africa","A_D_primary"
"633","G Hertzler, M Gomera","are african",2004,"","A_D_primary"
"634","?????","gathering and releasing animals: reindeer herd control activities of the indigenous peoples of the verkhoyansky region, siberia",2004,"Bulletin of National Museum of Ethnology","A_D_primary"
"635","NA Rivers","deep ambivalence and wild objects: toward a strange environmental rhetoric",2015,"Rhetoric Society Quarterly","A_D_primary"
"642","RB Keiter","ancestral lands",2013,"To Conserve Unimpaired","A_D_primary"
"652","R Laurence","the abrogation of indian treaties by federal statutes protective of the environment",1991,"Natural Resources Journal","A_D_primary"
"658","JC Hribal","animals, agency, and class: writing the history of animals from below",2007,"Human Ecology Review","A_D_primary"
"661","DK Kumar","bioethics in india: proceedings of the international bioethics workshop in madras: biomanagement of biogeoresources, 16-19 jan. 1997, university of …",1991,"Population","A_D_primary"
"666","C Kirwan","wolves and recovery plans: the difficult road to wolf preservation in the greater yellowstone ecosystem",1991,"UMKC L. Rev.","A_D_primary"
"671","LD Mech","the wolves of minnesota",2000,"","A_D_primary"
"678","CWTPP Mosto","case study—the history of a successful and environmentally",2009,"Earthcare: An Anthology in Environmental Ethics","A_D_primary"
"679","T Clearman","adversity in social evolution: correlating wolves in ecosystems with shadow in the human psyche",2016,"","A_D_primary"
"680","DC Luce","the vanishing world of cormac mccarthy's border trilogy",2001,"A Cormac McCarthy Companion: The Border Trilogy","A_D_primary"
"686","A Jernelöv","some concluding remarks emanating from the case studies",2017,"The Long-Term Fate of Invasive Species","A_D_primary"
"704","MA Powell","vanishing america",2016,"","A_D_primary"
"708","J Kates","naming the forest fire: journalists define the"" red demon,"" 1871-1933.",2010,"Media History Monographs","A_D_primary"
"709","SE Cregier","the psychology and ethics of humane equine treatment",1987,"Advances in Animal Welfare Science 1986/87","A_D_primary"
"710","SE Cregier","of humane equine treatment",2012,"Advances in Animal Welfare Science 1986/87","A_D_primary"
"719","MA Bryson","empty lots and secret places: leonard dubkin's exploration of urban nature in chicago",2011,"Interdisciplinary Studies in Literature and …","A_D_primary"
"722","CR McDowell","factors affecting the conservation of renosterveld by private landowners",1988,"","A_D_primary"
"726","B Franklin","licensed to kill",1996,"In the Company of Animals: A Study of Human- …","A_D_primary"
"752","A Anderson","current research issues in the study of moas and moa-hunting",1991,"SCIENCE & RESEARCH SERIES NO. 37","A_D_primary"
"755","L van Sittert","routinising genocide: the politics and practice of vermin extermination in the cape province c. 1889–1994",2016,"Journal of Contemporary African Studies","A_D_primary"
"757","JA McNeely","strangers in our midst: the problem of invasive alien species",2004,"Environment","A_D_primary"
"776","E Duran, B Duran","native american postcolonial psychology",1995,"","A_D_primary"
"789","RF Kohn","environmental education, the last measure of man. an anthology of papers for the consideration of the 14th and 15th conference of the us national commission for …",1971,"","A_D_primary"
"798","EM Wanderer","biologies of betrayal: judas goats and sacrificial mice on the margins of mexico",2015,"BioSocieties","A_D_primary"
"805","J Diamond","collapse: how societies choose to fail or succeed",2005,"","A_D_primary"
"810","M MUSIMBI","factors influencing human wildlife conflict in communities around the park: a case of lake nakuru national park.",0,"erepository.uonbi.ac.ke","A_D_primary"
"811","B Ashcroft, G Griffiths, H Tiffin","post-colonial studies: the key concepts",2013,"","A_D_primary"
"823","EC Perkins","migratory birds and multiple--use management: using the migratory bird treaty act to rejuvenate america's national environmental policy",1997,"Nw. UL Rev.","A_D_primary"
"829","A Simon","leopold, pinchot, marx, and the ethics of buffalo hunting in the 21st century",2007,"Teaching Ethics","A_D_primary"
"831","IW Zartman","preventing deadly conflict",2015,"","A_D_primary"
"833","G Enticott, F Vanclay","scripts, animal health and biosecurity: the moral accountability of farmers' talk about animal health risks",2011,"Health, Risk & Society","A_D_primary"
"839","R Clarke","pioneers of conservation; the selborne society and the (royal) spb",2004,"","A_D_primary"
"849","O Lerbinger","corporate public affairs: interacting with interest groups, media, and government",2006,"","A_D_primary"
"852","S Leikam","environmental imaginations of the california channel islands and ecological crisis in tc boyle's when the killing's done",2014,"… @: European Journal of Literature, Culture and …","A_D_primary"
"855","R Woodroffe, J Ginsberg, ...","the iucn/ssc canid specialist group. 1997",1785,"The African wild dog– …","A_D_primary"
"866","N Bostrom","the future of humanity",2009,"New waves in philosophy of technology","A_D_primary"
"867","J Terborgh","making parks work: strategies for preserving tropical nature",2002,"","A_D_primary"
"868","WM Roth, MIM Goulart, K Plakitsi","preparing teachers for early childhood science teaching",2013,"Science Education during Early …","A_D_primary"
"871","N Radke","simveillance in hyperreal las vegas",2005,"International Journal of Baudrillard Studies","A_D_primary"
"890","PKN Joubert","distribution patterns and status of some mammals in south west africa",1975,"Madoqua","A_D_primary"
"894","J Straw","tsurai ancestral society responds to arkley's statements about indian island",0,"kymkemp.com","A_D_primary"
"912","RF Nash","the rights of nature: a history of environmental ethics",1989,"","A_D_primary"
"916","G Fitzgerald","public attitudes to current and proposed forms of pest animal control",2009,"A summary and review of the Australasian and …","A_D_primary"
"923","SA Marks","southern hunting in black and white: nature, history, and ritual in a carolina community",1991,"","A_D_primary"
"943","JC FRSSAf","“wilding the farm or farming the wild”? the evolution of scientific game ranching in south africa from the 1960s to the present",2008,"Transactions of the Royal Society of South Africa","A_D_primary"
"957","GH Copp, PG Bianco, NG Bogutskaya, ...","to be, or not to be, a non?native freshwater fish?",2005,"Journal of Applied …","A_D_primary"
"972","DE Cooper, JA Palmer","environment in question",2005,"","A_D_primary"
"974","PW Anderson","would say that einstein's discovery of the formula for the",1984,"DOCUMENT RESUME UD 024 362","A_D_primary"
"980","C Martin","keepers of the game: indian-animal relationships and the fur trade",1982,"","A_D_primary"
"981","A Fraser","public attitudes to pest control: a literature review",2006,"","A_D_primary"
"991","JJ Jackson","needs of county agents for vertebrate pest control information in georgia",1980,"","A_D_primary"
"994","DL Brooks","animal rights and vertebrate pest control",1988,"","A_D_primary"
"1014","WE Howard","development of wildlife damage management: a personal perspective",2009,"","A_D_primary"
"1019","KE Littin, DJ Mellor","strategic animal welfare issues: ethical and animal welfare issues arising from the killing of wildlife for disease control and environmental reasons",2005,"Revue Scientifique Et Technique-Office International …","A_D_primary"
"1020","MB Usher","ecological effects of controlling invasive terrestrial vertebrates",1989,"Drake, JA; Mooney, HA; di Castri, F","A_D_primary"
"1023","RG Clark, MCUMGU Unlverdty","pist control",1979,"","A_D_primary"
"1025","B CHAPMAN","coactions of small mammals and larch sawflies. ch buckner, vertebrate biology, canadian forestry service, ottawa, ont, canada section e symposium: …",1972,"","A_D_primary"
"1030","MK Oli, IR Taylor, ME Rogers","snow leopard panthera uncia predation of livestock: an assessment of local perceptions in the annapurna conservation area, nepal",1994,"Biological Conservation","A_D_primary"
"1038","MT MENGAK, CA MILLER, DI HALL","attitudes of students in a wildlife damage management class towards nuisance wildlife control",2009,"Proceedings of the 13th …","A_D_primary"
"1052","R Wilkinson, G Fitzgerald","public perception of pests in new zealand: essential information for moving forward",1999,"Manaaki Whenua Conference, Te Papa, Wellington","A_D_primary"
"1058","ML de Souza, MEB de Castro, W Sihler, E Krol, ...","baculoviruses: a safe alternative in pest control?",2007,"Pest …","A_D_primary"
"1061","DC Sclar","integrated pest management practices in colorado: a survey of wood plant nurseries and homeowners, 1995-1996",1997,"","A_D_primary"
"1066","AJ Bath, T Buchanan","attitudes of interest groups in wyoming toward wolf restoration in yellowstone national park",1989,"Wildlife Society Bulletin (1973-2006)","A_D_primary"
"1074","S Mykrä, T Vuorisalo, M Pohja-Mykrä","a history of organized persecution and conservation of wildlife: species categorizations in finnish legislation from medieval times to 1923",2005,"Oryx","A_D_primary"
"1081","MON Campbell","vultures: their evolution, ecology and conservation",2015,"","A_D_primary"
"1101","RNH Bulmer","traditional conservation practices in papua new guinea",1982,"Traditional Conservation in …","A_D_primary"
"1144","GS Pickles","feral goat commercialisation: the beginning of the end of eradication?",1992,"Proceedings of the Fifteenth Vertebrate Pest …","A_D_primary"
"1148","RH Messing","environmental impacts of biological control",0,"World","A_D_primary"
"1152","B Warburton, BG Norton","towards a knowledge-based ethic for lethal control of nuisance wildlife",2009,"Journal of Wildlife Management","A_D_primary"
"1153","KA Fagerstone, LA Miller, G Killian, ...","review of issues concerning the use of reproductive inhibitors, with particular emphasis on resolving human?wildlife conflicts in north america",2010,"Integrative …","A_D_primary"
"1155","S Opotow","predicting protection: scope of justice and the natural world",1994,"Journal of Social Issues","A_D_primary"
"1170","RK Swihart","ecological considerations in the management of wildlife damage",1991,"Fifth Eastern Wildlife Damage Control …","A_D_primary"
"1173","DP JONES","applied biology as an evolutionary process",1970,"Annals of Applied Biology","A_D_primary"
"1194","SC Frantz","vertebrate pest management",1988,"Architectural Design and Indoor Microbial Pollution","A_D_primary"
"1203","MC Philipp, JB Armstrong","perceptions knowledge of alabama fruit and vegetable producers towards coyotes",1993,"Sixth Eastern Wildlife Damage …","A_D_primary"
"1215","PH Hemsworth","ethical stockmanship",2007,"Australian Veterinary Journal","A_D_primary"
"1221","SR Craven","woodpeckers: a serious suburban problem?",1984,"","A_D_primary"
"1229","RH Schmidt, RJ Johnson","bird dispersal recordings: an overview",1983,"Vertebrate Pest Control and Management …","A_D_primary"
"1236","JE Miller","the professional evolution of wildlife damage management",1995,"","A_D_primary"
"1247","J Penn, WY Hu, MF Potter","disturbed! please do not disturb.",2015,"Pest Control Technology","A_D_primary"
"1260","G Schaefer","frame syllabus for biology teaching at schools",1981,"European Journal of Science Education","A_D_primary"
"1264","GR Singleton, DA Petch","a review of the biology and management of rodent pests in southeast asia",1994,"","A_D_primary"
"1268","AS Glen","hybridisation between dingoes and domestic dogs: a comment on jones (2009)",2010,"Australian Mammalogy","A_D_primary"
"1273","PL Errington","the phenomenon of predation",1963,"American Scientist","A_D_primary"
"1280","FAV St John, AM Keane, ...","identifying indicators of illegal behaviour: carnivore killing in human-managed landscapes",2011,"… of the Royal …","A_D_primary"
"1288","JM Baker, RW Berry","synthetic pyrethroid insecticides as replacements for chlorinated hydrocarbons for the control of wood-boring insects",1980,"European Journal of Wood and Wood Products","A_D_primary"
"1290","S Dubois, D Fraser","rating harms to wildlife: a survey showing convergence between conservation and animal welfare views",2013,"","A_D_primary"
"1295","G Ballard, PJS Fleming","are we barking up the wrong tree? observations on community co-management of wild dogs in nsw, australia",2010,"23rd Australasian Wildlife …","A_D_primary"
"1298","RPD Atkinson, DW Macdonald, PJ Johnson","the status of the european mole talpa europaea l. as an agricultural pest and its management",1994,"Mammal Review","A_D_primary"
"1303","J Sheail","the extermination of the muskrat (ondatra zibethicus) in inter-war britain",1988,"Archives of Natural History","A_D_primary"
"1304","J Dincer","progress made in integrated control of cotton pests with special emphasis on its practicability and economic interest.",1980,"Proceedings. International symposium of IOBC/WPRS …","A_D_primary"
"1315","RM Timm","coyotes nipping at our heels: a new suburban dilemma",2006,"","A_D_primary"
"1340","P Lands",""" vertebrate pests of agriculture, forestry and public lands"" 2000 annual meeting",2000,"","A_D_primary"
"1341","DM Roemer, SC Forrest","prairie dog poisoning in northern great plains: an analysis of programs and policies",1996,"Environmental Management","A_D_primary"
"1343","H Bender","effectiveness of the eastern grey kangaroo foot thump for deterring conspecifics",2005,"Wildlife Research","A_D_primary"
"1348","A Alvarez","the problem of neutrality: some reflections on the psychoanalytic attitude in the treatment of borderline and psychotic children",1985,"Journal of Child Psychotherapy","A_D_primary"
"1359","F Manyama, JW Nyahongo, ...","factors affecting attitudes of local people toward the red-billed quelea (quelea quelea) in kondoa district, tanzania",2014,"International Journal of …","A_D_primary"
"1365","WE Howard, RH Schmidt","biological rationale for 1080 as a predacide",1984,"","A_D_primary"
"1369","P Kelly, J Bentley, AKM Zakaria, M Nuruzzaman","plant clinics help curb pesticide use in bangladesh.",2008,"Pesticides News","A_D_primary"
"1375","L Brader","advances in applied entomology",1980,"Annals of Applied Biology","A_D_primary"
"1379","E Murphy, C Cunningham","investigation of new baits and toxins",2010,"… -Vertebrate Pest …","A_D_primary"
"1382","PM Lewis, GL Burns, D Jones","response and responsibility: humans as apex predators and ethical actors in a changing societal environment",2016,"Food Webs","A_D_primary"
"1388","PC Passof, RE Marsh, ...","alpha-naphthylthiourea as a conditioning repellent for protecting conifer seed",1974,"… of the 6th Vertebrate Pest …","A_D_primary"
"1395","GC Sanderson","illinois natural history survey-celebrating the 150th anniversary of forbes' birth",1994,"","A_D_primary"
"1399","JC George","mind, metabolism, and melatonin: time's arrow towards the future",2015,"Journal of Science Technology and …","A_D_primary"
"1401","SR Kellert, M Black, CR Rush, AJ Bath","human culture and large carnivore conservation in north america",1996,"Conservation Biology","A_D_primary"
"1404","LMP Ceriaco","gecko's folklore in portuguese oral tradition",2010,"Proceedings of the international conference on oral …","A_D_primary"
"1410","S Mykrä, T Vuorisalo, ...","emergence of species conservation in finland: development of wildlife attitudes in 1894-1928",2015,"Conservation and …","A_D_primary"
"1413","PR Wood, P Willadsen, JE Vercoe, RM Hoskinson, ...","vaccines in agriculture: immunological applications to animal health and production",1994,"","A_D_primary"
"1415","P Mineau, A McLaughlin","conservation of biodiversity within canadian agricultural landscapes: integrating habitat for wildlife",1996,"Journal of Agricultural and Environmental …","A_D_primary"
"1416","WAL David","the status of viruses pathogenic for insects and mites",1975,"Annual review of entomology","A_D_primary"
"1420","HV Wyatt, R Tomlinson, CF Stoneman, ...","crossref citations altmetric",1976,"Journal of Biological …","A_D_primary"
"1422","FH Wagner, US Seal","values, problems, and methodologies in managing overabundant wildlife populations: an overview",1992,"Wildlife 2001: Populations","A_D_primary"
"1435","S Azfar, A Nadeem, A Basit","pest detection and control techniques using wireless sensor network: a review",2015,"Journal of Entomology and Zoology …","A_D_primary"
"1437","A Sorensen, PA Stewart","factors affecting the adoption of new technologies.",2000,"… of a Conference, Raleigh, North Carolina …","A_D_primary"
"1442","National Research Council","pesticide resistance: strategies and tactics for management",1986,"","A_D_primary"
"1445","RJ Richards","ernst haeckel's alleged anti-semitism and contributions to nazi biology",2007,"Biological Theory","A_D_primary"
"1458","AJ Norris, W Henderson, S McMahon, ...","costing the impacts of invasive animals",2005,"Proceedings of the …","A_D_primary"
"1459","MT Walton","16. nuisance wildlife",1999,"Texas Wildlife Resources and Land Uses","A_D_primary"
"1462","CJ Robinson, P Whitehead","cross-cultural management of pest animal damage: a case study of feral buffalo control in australia's kakadu national park",2003,"Environmental Management","A_D_primary"
"1468","G Wiegleb","the value of biodiversity",2002,"Environmental Values, submitted","A_D_primary"
"1471","GW Witmer, A Hayden, M Pipas","predator depredations on sheep in pennsylvania",1993,"Sixth Eastern Wildlife …","A_D_primary"
"1473","M Patergnani, LM Gras, G Poglayen, A Gelli, ...","environmental influence on urban rodent bait consumption",2010,"Journal of Pest …","A_D_primary"
"1488","M Mushtaq, A Mian, I Hussain, S Munir, AA Khan","porcupine, hystrix indica kerr (rodentia: hystricidae)",2010,"Pakistan J. Zool","A_D_primary"
"1490","HPK Agersborg","how may our large mammals be protected?",1927,"Journal of Mammalogy","A_D_primary"
"1491","TR Dunlap","values for varmints: predator control and environmental ideas, 1920-1939",1984,"Pacific Historical Review","A_D_primary"
"1498","GD Cook, AC Grice","historical perspectives on invasive grasses and their impact on wildlife in australia",2013,"Wildlife Society Bulletin","A_D_primary"
"1499","PJ Darling","kari/oda crop protection project",1993,"Farming systems survey summary report","A_D_primary"
