"","Authors","Title","Year","Source","grp"
"133","M Bolton","synthesis and conclusions",1997,"Conservation and the Use of Wildlife Resources","An_D_primary"
"136","JM Boyd","land-use planning for wildlife and natural resources in the north-west highlands",1967,"The biotic effects of public pressures on the …","An_D_primary"
"140","JA Pritchard","preserving yellowstone's natural conditions: science and the perception of nature",1999,"","An_D_primary"
"162","M Camino, S Cortez, A Cerezo, ...","wildlife conservation, perceptions of different co-existing cultures.",2016,"International Journal of …","An_D_primary"
"163","J Simmons","conservation of threatened plants",2013,"","An_D_primary"
"165","VM Fogleman","the future of the eastern timber-wolf in the united states",1984,"Environmental Conservation","An_D_primary"
"178","TR Dunlap","saving america's wildlife",1991,"","An_D_primary"
"197","L Bal?iauskas, M Kazlauskas, ...","european bison: changes in species acceptance following plans for translocation",2017,"… Journal of Wildlife …","An_D_primary"
"202","BP Kaltenborn, SM Brainerd","can poaching inadvertently contribute to increased public acceptance of wolves in scandinavia?",2016,"European journal of wildlife research","An_D_primary"
"211","D Wylie","elephants and compassion: ecological criticism and southern african hunting literature",2001,"English in Africa","An_D_primary"
"212","E Schüttler, R Rozzi, K Jax","towards a societal discourse on invasive species management: a case study of public perceptions of mink and beavers in cape horn",2011,"Journal for Nature Conservation","An_D_primary"
"217","WG Wellington","returning the insect to insect ecology: some consequences for pest management",1977,"Environmental Entomology","An_D_primary"
"219","V Ziswiler","indirect extermination",1967,"Extinct and Vanishing Animals","An_D_primary"
"223","B Jones","the endangered gray wolf in wyoming: managing wolf populations after endangered species act delisting",2008,"Policy Perspectives","An_D_primary"
"239","P Hollindale","the darkening of the green",1990,"Signal","An_D_primary"
"242","J Sheail","creating landscapes from the old-an english perspective on nature conservation",1999,"Norsk Geografisk Tidsskrift-Norwegian Journal of …","An_D_primary"
"245","TR Peterson, CC Horton","rooted in the soil: how understanding the perspectives of landowners can enhance the management of environmental disputes",1995,"Quarterly Journal of Speech","An_D_primary"
"254","WS Lynn","discourse and wolves: science, society, and ethics",2010,"Society & Animals","An_D_primary"
"258","PS Wilson","what chief seattle said",1992,"Environmental Law","An_D_primary"
"259","S Pooley, M Barua, W Beinart, A Dickman, ...","an interdisciplinary review of current and future approaches to improving human?predator relations",2016,"Conservation …","An_D_primary"
"260","WE Riebsame","ending the range wars?",1996,"Environment: Science and Policy for Sustainable …","An_D_primary"
"265","GC Shirley","four-legged legends of montana",1993,"","An_D_primary"
"298","K Muir-Leresche, R Nelson","private property rights to wildlife: the southern african experiment",2000,"","An_D_primary"
"318","S Guynup","state of the wild: a global portrait of wildlife, wildlands, and oceans",2005,"","An_D_primary"
"325","BS TAIWO","man and environment in yoruba religion implications for education.",2014,"Journal of Educational Review","An_D_primary"
"337","P Pattison","the use of resources in a developing country: the gulf of california",1979,"","An_D_primary"
"352","D Hoch, WC Heath","tracking the adc: ranchers' boon, taxpayers' burden, wildlife's bane",1997,"Animal L.","An_D_primary"
"361","C Margules, MB Usher","criteria used in assessing wildlife conservation potential: a review",1981,"Biological conservation","An_D_primary"
"362","R Rajaratnam, K Vernes, T Sangay","a review of livestock predation by large carnivores in the himalayan kingdom of bhutan",2016,"Problematic Wildlife","An_D_primary"
"365","RL Christie","report of the general secretary for 2004",2005,"","An_D_primary"
"366","A Woolf, CD Greene","investigations of crop damage by wild turkeys in illinois",0,"opensiuc.lib.siu.edu","An_D_primary"
"367","C Norrgard","welfare state, settler state: ojibwes, social citizenship, and disaster relief in the great fire of 1918",2015,"The Journal of the Gilded Age and Progressive …","An_D_primary"
"381","A San, Y Hamada","distribution and current status of long-tailed macaques (macaca fascicularis aurea) in myanmar",2011,"Monkeys on the Edge: Ecology and …","An_D_primary"
"385","M Webster","definitions-iroquois report a problem",0,"dictionary.sensagent.com","An_D_primary"
"392","WA Calder, J Bros, WS Lackner, A Stabinsky, ...","man and the mountain lion in the early 1900s: perspectives from a wildcat dump",1990,"Journal of the …","An_D_primary"
"393","M Collinge, R Krsichke, L Handegard, J Shivik, C Sime, ...","non-lethal and lethal tools to manage wolf-livestock conflict in the northwestern united states",0,"researchgate.net","An_D_primary"
"400","GA Love","hemingway's indian virtues: an ecological reconsideration",1987,"Western American Literature","An_D_primary"
"403","G Preston","enhancement of the conservation issues in visitors to three south african nature reserves",1983,"","An_D_primary"
"404","DS CLAFLIN","i mspca",0,"HeinOnline","An_D_primary"
"413","S Vantassel","should wildlife trapping have a place in a christian environmental ethic?",2007,"Other Publications in Wildlife Management","An_D_primary"
"426","A Calder","why shoot the gopher? reading the politics of a prairie icon",2003,"American Review of Canadian Studies","An_D_primary"
"431","PWJ Bartrip","myxomatosis in 1950s britain",2007,"Twentieth Century British History","An_D_primary"
"432","PD Glavovic","wilderness: source or resource? a suggested wilderness act for south africa",1985,"Comparative and International Law Journal of …","An_D_primary"
"433","RC Bigalke","functional relationships between protected and agricultural areas in south africa and namibia",2000,"Wildlife conservation by sustainable use","An_D_primary"
"442","V NUMBER","international journal for the study of animal problems",1981,"International Journal","An_D_primary"
"450","RE Kohler","paul errington, aldo leopold, and wildlife ecology: residential science",2011,"HIST STUD NAT SCI","An_D_primary"
"455","LE Sponsel","the religion and environment interface",2011,"Environmental anthropology today","An_D_primary"
"467","S Pooley","the entangled relations of humans and nile crocodiles in africa, c. 1840-1992",2016,"Environment and History","An_D_primary"
"478","Y Wan, ???","beyond anthropocentrism: environmentalist concerns in contemporary literature",2015,"HKU Theses Online (HKUTO)","An_D_primary"
"483","G Van Horn","seven",2012,"Animals and the Human Imagination: A Companion …","An_D_primary"
"504","R Pierotti","biological species, hybridization and captive breeding",1992,"","An_D_primary"
"508","CM King, CFJ O'Donnell, SM Phillipson","monitoring and control of mustelids on conservation lands",1994,"","An_D_primary"
"516","HF Osborn, HE Anthony","close of the age of mammals",1922,"Journal of Mammalogy","An_D_primary"
"521","B Potyondi","loss and substitution: the ecology of production in southwestern saskatchewan, 1860-1930",1994,"Journal of the Canadian Historical Association/Revue …","An_D_primary"
"526","K Darcy","pigs in a pen: the mutli-faceted impact of feral swine on michigan's agricultural and environmental communities",2015,"Drake J. Agric. L.","An_D_primary"
"535","J Cribb","the getter of wisdom (homo sapientior)",2017,"Surviving the 21st Century","An_D_primary"
"539","F Stratton","out of canada: images of africa in contemporary canadian culture",2001,"Studies in Canadian Literature","An_D_primary"
"540","W Silvert","the meaning of biodiversity",2006,"St. Marthe, E.(2003). Biodiversity Enabling Activity …","An_D_primary"
"544","JC Bicca-Marques, ...","the role of monkeys, mosquitoes, and humans in the occurrence of a yellow fever outbreak in a fragmented landscape in south brazil: protecting howler monkeys is a …",2010,"Tropical Conservation …","An_D_primary"
"546","J Hiedanpää, M Salo, J Kotilainen","teleodynamics and institutional change: the hardship of protecting the amur tiger, big-leaf mahogany, and gray wolf",2015,"Journal for Nature Conservation","An_D_primary"
"570","RO Randolph","human health and environmental health are interdependent: removing an unnatural partition within christian bioethics",2009,"Journal of the Society of Christian Ethics","An_D_primary"
"572","J du P Bothma","literature review of the ecology and control of the black-backed jackal and caracal in south africa",2012,"","An_D_primary"
"577","SH Yoo, SJ Kwak","measuring the economic benefits of protecting the tong river in korea: a contingent valuation study",2009,"International Journal of Environment …","An_D_primary"
"580","G Hertzler, M Gomera","are african elephants an endangered species?",2004,"","An_D_primary"
"581","R Pierotti, DR Wildcat","finding the indigenous in indigenous studies",2000,"","An_D_primary"
"585","P Coates","eastenders go west: english sparrows, immigrants, and the nature of fear",2005,"Journal of American Studies","An_D_primary"
"598","AR Amin","from xenophobia to othering: human division as a political strategy",0,"academia.edu","An_D_primary"
"606","O Shraibati","the perceived and actual impact of outdoor domestic cats on local ecology in massachusetts, and the effects of education on cat owner behavior",1915,"","An_D_primary"
"611","G Hertzler, M Gomera","has the convention on international trade in endangered species saved the african elephant? abstract",0,"academia.edu","An_D_primary"
"613","DW Macdonald","the african wild dog: status survey and conservation action plan",1997,"","An_D_primary"
"623","FWNAG Idea","help keep wildlife wild",0,"wolvesontario.org","An_D_primary"
"636","W Sun, M Zhang","the protection of human environment: the ecological environment and human subsistent development",2015,"The “New Culture”","An_D_primary"
"639","SA Johnson, A Aamodt","wolf pack: tracking wolves in the wild",1987,"","An_D_primary"
"644","B Zeide","resolving contradictions in forestry: back to science",2001,"The Forestry Chronicle","An_D_primary"
"646","G Scherer, M Fletcher","who on earth is aldo leopold?: father of wildlife ecology",2009,"","An_D_primary"
"656","R Moos, R Brownstein","an environmental perspective on utopia",1977,"Environment and Utopia","An_D_primary"
"668","RA Schultz","technology versus ecology: human superiority and the ongoing conflict with nature: human superiority and the ongoing conflict with nature",2013,"","An_D_primary"
"691","S Woodruff","characteristics of wolf and cougar kill sites in the southern yellowstone ecosystem",2006,"","An_D_primary"
"692","A MacCormick","the mammoth book of predators",2011,"","An_D_primary"
"698","S Rostro-García, L Tharchen, L Abade, C Astaras, ...","scale dependence of felid predation risk: identifying predictors of livestock kills by tiger and leopard in bhutan",2016,"Landscape …","An_D_primary"
"703","A Gascoyne, EC Council","conservation management of the rural historic environment in essex",2006,"","An_D_primary"
"711","A Zabel, B Roe","performance payments for environmental services",2008,"","An_D_primary"
"723","P Kaczensky","first assessment of nomrog and dornod mongol strictly protected areas for the re-introduction of przewalski's horses in the eastern steppe of mongolia",2005,"WCS & USAID Report, Ulaanbaatar, Mongolia.[in …","An_D_primary"
"731","RJ Webb","self-recording as a method of increasing altruistic behavior",1979,"","An_D_primary"
"740","VE Shelford","biological control of rodents and predators",1942,"","An_D_primary"
"743","ME Bellanca","science, animal sympathy and anna barbauld's"" the mouse's petition""",2003,"Eighteenth-century studies","An_D_primary"
"744","H Hofer, TB Hildebrandt, F Goritz, ML East, ...","distribution and movements of elephants and other wildlife in the selous-niassa wildlife corridor, tanzania",2004,"","An_D_primary"
"759","J Osborne, S Collins","pupils'& parents' views of the school science curriculum",2000,"","An_D_primary"
"772","C CONSEEL, OFE DE L'EUROPE","of the wou=(can| s lupus)",0,"nina.no","An_D_primary"
"783","SM Fountain","ranchers' friend and farmers' foe: reshaping nature with beaver reintroduction in california",2014,"Environmental History","An_D_primary"
"784","D Myers","great literacy debate: english in contemporary australia, the",1992,"Great Literacy Debate: English in Contemporary …","An_D_primary"
"790","DA Keinath","species assessment for white-tailed prairie dog (cynomys leucurus) in wyoming",2004,"Prepared for the United States Department of Interior, …","An_D_primary"
"797","J Cooper","human history",2008,"The Prince Edward Islands. Land. Sea …","An_D_primary"
"806","INK KRAI","aims and objectives of an environmental education and public awareness campaign to protect the amur tiger and its …",0,"wf.ru","An_D_primary"
"807","PM Manus","the owl, the indian, the feminist, and the brother: environmentalism encounters the social justice movements",1995,"BC Envtl. Aff. L. Rev.","An_D_primary"
"809","RJ Tobin","the expendable future: us politics and the protection of biological diversity",1990,"","An_D_primary"
"812","N Holm","consider the squirrel: freaks, vermin, and value in the ruin (s) of nature",2012,"Cultural Critique","An_D_primary"
"816","ED Ives","george magoon and the down east game war: history, folklore, and the law",1992,"","An_D_primary"
"818","DM Fortner","environmental studies: an annotated bibliography",1994,"","An_D_primary"
"822","BL Moore","“evidences of decadent humanity”: antianthropocentrism in early science fiction",2014,"Nature and Culture","An_D_primary"
"824","E Yoseph","an ecological study on rodents and their significance to the ethiopian wolf (canis simensis, rüppel 1838) in the afroalpine belt of mt. abune",2008,"","An_D_primary"
"837","DR Grubbs","of spotted owls and bald eagles: raptor conservation soars into the'90s",1990,"Cap. UL Rev.","An_D_primary"
"838","LM Kiedrowski","the one world/one health concept applied in the field, laboratory, and hospital",2014,"Circulation","An_D_primary"
"846","SN Stokes, AE Watson, SS Mastran","saving america's countryside: a guide to rural conservation",1997,"","An_D_primary"
"847","SK May","collecting cultures: myth, politics, and collaboration in the 1948 arnhem land expedition",2009,"","An_D_primary"
"853","J Gillen, CA Cameron","negotiating citizenship: a young child's collaborative meaning-making constructions of beavers as a symbol of canada",2017,"Language and Education","An_D_primary"
"860","AR Huck, E Decker","environmental respect: a new approach to outdoor education.",1976,"","An_D_primary"
"883","JA Lockwood, AV Latchininsky","philosophical justifications for the extirpation of non-indigenous species: the case of the grasshopper schistocerca nitens (orthoptera) on the island of nihoa, hawaii",2008,"Journal of Insect Conservation","An_D_primary"
"886","A de Vos","man as an environmental agent",1975,"Africa, the Devastated Continent?","An_D_primary"
"896","L Van Sittert","bringing in the wild: the commodification of wild animals in the cape colony/province c. 1850–1950",2005,"The Journal of African History","An_D_primary"
"909","A Isla","the eco-class-race struggles in the peruvian amazon basin: an ecofeminist perspective",2009,"Capitalism nature socialism","An_D_primary"
"913","PD Allen, D Sky, M Sky","posted by pd allen on july 15, 2012 posted in: nonfiction, under shattered skies. tagged: confluence of crises, create your own reality, david bohm, …",0,"pdallen.wordpress.com","An_D_primary"
"922","JE Hughes","royal tigers and ruling princes: wilderness and wildlife management in the indian princely states",2015,"Modern Asian Studies","An_D_primary"
"929","A Bleakley","the animalizing imagination: totemism, textuality and ecocriticism",1999,"","An_D_primary"
"946","JM Marzluff, T Angell","in the company of crows and ravens",2007,"","An_D_primary"
"953","JJ Rawls","indians of california: the changing image",1986,"","An_D_primary"
"960","GC Coggins","legal protection for marine mammals: an overview of innovative resource conservation legislation",1975,"Envtl. L.","An_D_primary"
"961","N Haslam, S Loughnan","dehumanization and infrahumanization",2014,"Annual review of psychology","An_D_primary"
"963","P Robertson","corangamite water skink",1998,"","An_D_primary"
"966","R Strickland","indian law and the miner's canary: the signs of poison gas",1991,"Clev. St. L. Rev.","An_D_primary"
"977","B Holderness-Roddam","the effects of domestic dogs (canis familiaris) as a disturbance agent on the natural environment",2011,"","An_D_primary"
"978","KE Cronin","resource management and the transition to a steady state",1982,"","An_D_primary"
"1002","SK Jacobson, KE Sieving, GA Jones, ...","assessment of farmer attitudes and behavioral intentions toward bird conservation on organic and conventional florida farms",2003,"Conservation …","An_D_primary"
"1009","TK Palmer","pest bird damage control in cattle feedlots: the integrated systems approach",1976,"","An_D_primary"
"1012","RJ Johnson","the human element in wildlife damage situations",1990,"","An_D_primary"
"1017","SR Kellert","values and perceptions of invertebrates",1993,"Conservation biology","An_D_primary"
"1042","DA Wade, SL Beasom","the effects of environmental-political factors on predator research",1979,"Vertebrate Pest Control and …","An_D_primary"
"1044","O Huitu, H Henttonen","the 9th european vertebrate pest management conference–abstracts",2013,"","An_D_primary"
"1050","E Méndez, F Delgádo, D Miranda","the coyote (canis latrans) in panama",1981,"","An_D_primary"
"1053","GR Wilson","cultural values, conservation and management legislation",1987,"Fauna of Australia: general articles' ed. GR Dyne, DW …","An_D_primary"
"1063","NEC Priston","exclosure plots as a mechanism for quantifying damage to crops by primates",2009,"International Journal of Pest Management","An_D_primary"
"1064","RC Joshi, ORO Matchoc, RG Bahatan, ...","farmers' knowledge, attitudes and practices of rice crop and pest management at ifugao rice terraces, philippines",2000,"International Journal of …","An_D_primary"
"1076","PJ Spear","the role of pest control operators in vertebrate pest control",1964,"","An_D_primary"
"1077","L McCann","keynote address? new concepts in wildlife management",1980,"","An_D_primary"
"1094","P Cowan, B Warburton, P Fisher","welfare and ethical issues in invasive species management",2011,"Julius-Kühn-Archiv","An_D_primary"
"1100","RJ Johnson, AE Koehler, OC Burnside","rodent repellents for planted grain",1982,"","An_D_primary"
"1102","KK Miller","human dimensions of wildlife population management in australasia–history, approaches and directions",2009,"Wildlife Research","An_D_primary"
"1103","JR Beck","legal, scientific, and political cooperation—the impossible dream",1981,"Vertebrate Pest Control and Management Materials","An_D_primary"
"1106","M Braysher, T Buckmaster, G Saunders, ...","principles underpinning best practice management of the damage due to pests in australia",2012,"… of the 25th Vertebrate …","An_D_primary"
"1109","TA Messmer","the emergence of human–wildlife conflict management: turning challenges into opportunities",2000,"International Biodeterioration & Biodegradation","An_D_primary"
"1112","JM Gilsdorf, SE Hygnstrom, KC VerCauteren","use of frightening devices in wildlife damage management",2002,"… Pest Management Reviews","An_D_primary"
"1117","FB Orlans","use of animals in education: policy and practice in the united states",1991,"Journal of Biological Education","An_D_primary"
"1130","WR Clark","the summer european starling problem in tulare county",1967,"… of the 3rd Vertebrate Pest Conference (1967)","An_D_primary"
"1134","C Hunt","deterrents, aversive conditioning, and other practices: an annotated bibliography to aid in bear management",1983,"","An_D_primary"
"1143","MJ Polonsky, W Binney, J Hall","developing better public policy to motivate responsible environmental behavior–an examination of managers' attitudes and perceptions towards controlling introduced …",2004,"Journal of nonprofit & public sector …","An_D_primary"
"1147","L Bufka, M Heurich, T Engleder, M Wölfl, J ?ervený, ...","wolf occurrence in the czech-bavarian-austrian border region–review of the history and current status",2005,"Silva Gabreta","An_D_primary"
"1162","SC Frantz, JP Comings","evaluation of urban rodent infestations--an approach in nepal",1976,"Proceedings of the 7th Vertebrate …","An_D_primary"
"1165","W Binney, J Hall, M Shaw","a further development in social marketing: application of the moa framework and behavioral implications",2003,"Marketing Theory","An_D_primary"
"1168","DM Stoddart","applications of researches into olfactory biology",1980,"The Ecology of Vertebrate Olfaction","An_D_primary"
"1176","W Olkowski","urban entomology",1976,"","An_D_primary"
"1193","JD Coleman, DR Morgan","knowledge gaps in conventional control of possums",2002,"Unpublished Landcare Research …","An_D_primary"
"1201","J Hadidian","what is new on the animal protection radar?",2009,"","An_D_primary"
"1214","TA Messmer","commentary human-wildlife conflicts: emerging challenges and opportunities",2009,"Human–Wildlife Interactions","An_D_primary"
"1220","DMF CAPALBO, IO MORAES, ...","impact assessment of the production and utilization of entomopathogens and its effects on public policies.",0,"… -Capítulo em livro …","An_D_primary"
"1228","GW Witmer, PW Burke, WC Pitt, ...","management of invasive vertebrates in the united states: an overview",2007,"Managing vertebrate …","An_D_primary"
"1234","G Beer","darwin and the uses of extinction",2009,"Victorian studies","An_D_primary"
"1235","WE Howard","predator control: whose responsibility?",1974,"BioScience","An_D_primary"
"1239","SB Canavelli, ME Swisher, ...","factors related to farmers' preferences to decrease monk parakeet damage to crops",2013,"Human dimensions of …","An_D_primary"
"1242","MJ Polonsky, J Hall, W Binney","deakin research online",2004,"","An_D_primary"
"1250","GJ Coleman","public perceptions of animal welfare: an international perspective",2008,"AAWS08 International Animal …","An_D_primary"
"1251","JN Nyada","bioeconomic simulation of alternative insect pest management strategies in a multispecies setting: a case study of sweet corn in massachusetts.",1990,"Dissertation Abstracts International. A, Humanities and …","An_D_primary"
"1253","Q Hart, G Edwards","outcomes of the australian feral camel management project and the future of feral camel management in australia",2016,"The Rangeland Journal","An_D_primary"
"1262","CMM Mols, ME Visser","great tits (parus major) reduce caterpillar damage in commercial apple orchards",2007,"PLoS One","An_D_primary"
"1272","HC Rowsell","handbook of pesticide toxicology 3 vols",1992,"The Canadian Veterinary Journal","An_D_primary"
"1283","WE Howard","wildlife and animal rights",1993,"Certified Range Management Consultants","An_D_primary"
"1285","J Huber","opportunities with baculoviruses",1995,"Biological control: benefits and risks","An_D_primary"
"1309","CH Merriam","the vertebrates of the adirondack region, northeastern new york",1882,"","An_D_primary"
"1311","JB Armstrong","proceedings of the seventh eastern wildlife damage control conference",1995,"Seventh Eastern Wildlife Damage …","An_D_primary"
"1313","J Di Stefano","the importance of ecological research for ecosystem management: the case of browsing by swamp wallabies (wallabia bicolor) in commercially harvested native …",2004,"Ecological Management & Restoration","An_D_primary"
"1320","M Václavíková, T Václavík, V Kostkan","otters vs. fishermen: stakeholders' perceptions of otter predation and damage compensation in the czech republic",2011,"Journal for Nature Conservation","An_D_primary"
"1345","MC Morris, SA Weaver","minimizing harm in possum control operations and experiments in new zealand",2003,"Journal of Agricultural and Environmental Ethics","An_D_primary"
"1347","J Brown, Y Seddon, M Appleby","animals and us: 50 years and more of applied ethology",2016,"","An_D_primary"
"1352","HJ Aslin, DH Bennett","wildlife and world views: australian attitudes toward wildlife",2000,"Human Dimensions of Wildlife","An_D_primary"
"1358","JB Tracey, B Mary","managing bird damage to fruit and other horticultural crops",2006,"","An_D_primary"
"1362","R Thomas","bones of contention: why later post-medieval faunal assemblages in britain matter",2009,"Crossing Paths or Sharing Tracks: future directions in …","An_D_primary"
"1363","WM Upholt","some safety aspects of pesticides in the countryside",1969,"","An_D_primary"
"1366","Z Morales?Reyes, B Martín?López, M Moleón, ...","farmer perceptions of the ecosystem services provided by scavengers: what, who and to whom",0,"Conservation …","An_D_primary"
"1367","J Yeates","what can pest management learn from laboratory animal ethics?",2010,"Pest management science","An_D_primary"
"1371","SM Munthali, DEC Mughogho","economic incentives for conservation: beekeeping and saturniidae caterpillar utilization by rural communities",1992,"Biodiversity and conservation","An_D_primary"
"1378","CHD Clarke, IN Gabrielson, HA Hochbaum, ...","report of the committee on bird protection, 1963",1964,"The Auk","An_D_primary"
"1387","B Miller, R Reading, J Hoogland, T Clark, ...","the role of prairie dogs as a keystone species: response to stapp",2000,"Conservation …","An_D_primary"
"1389","K Mameno, T Kubo, M Suzuki","social challenges of spatial planning for outdoor cat management in amami oshima island, japan",2017,"Global Ecology and Conservation","An_D_primary"
"1417","JG Sidle, DH Johnson, BR Euliss","estimated areal extent of colonies of black-tailed prairie dogs in the northern great plains",2001,"Journal of Mammalogy","An_D_primary"
"1424","JA Jedlicka, R Greenberg, DK Letourneau","avian conservation practices strengthen ecosystem services in california vineyards",2011,"PLoS One","An_D_primary"
"1426","CA Cannon","demography, cold hardiness, and nutrient reserves of overwintering nests of the carpenter ant camponotus pennsylvanicus (de geer)(hymenoptera: formicidae)",1990,"","An_D_primary"
"1430","PE Cowan","possum biocontrol: prospects for fertility regulation",1996,"Reproduction, Fertility and Development","An_D_primary"
"1432","I Wundram","urban ethology: an anthropological approach to wildlife in the city",1981,"Human organization","An_D_primary"
"1434","I Newton","report on the discussions of the syndicate on the use of agrochemicals.",1984,"","An_D_primary"
"1472","RA Baldwin, TP Salmon, RH Schmidt, RM Timm","wildlife pests of california agriculture: regional variability and subsequent impacts on management",2013,"Crop Protection","An_D_primary"
"1475","H Wells","science and religion in education",1942,"Science Education","An_D_primary"
"1477","MT Lakshminarayan, BN Manjunatha, ...","adoption of integrated pest management practices by sugarcane farmers.",2010,"Mysore Journal of …","An_D_primary"
"1478","JH Perkins","integrated pest management, biofuels, and a new green revolution: a case study of the american midwest",2009,"Integrated Pest Management: Dissemination and …","An_D_primary"
"1480","LMC Cole","the impending emergence of ecological thought",1964,"BioScience","An_D_primary"
"1483","GW Witmer, DG Whittaker","dealing with nuisance and depredating black bears",2001,"USDA National Wildlife …","An_D_primary"
"1492","C Yue, HH Jensen, DS Mueller, ...","estimating consumers' valuation of organic and cosmetically damaged apples",2007,"…","An_D_primary"
"1493","CR Dickman, AS Glen, M Letnic","reintroducing the dingo: can australia's conservation wastelands be restored",2009,"Reintroduction of top-order …","An_D_primary"
"1496","B Ortiz, C Fragoso, I Mboukou, ...","perception and use of earthworms in tropical farming systems",1999,"Earthworm …","An_D_primary"
"1497","KG Broome, A Cox, RA Empson, ...","eradication planning for invasive alien animal species on islands-the approach developed by the new zealand department of conservation",2002,"Turning the Tide: The …","An_D_primary"
"1510","KC Tanalgo, RD Teves, FRP Salvaña, ...","human-bat interactions in caves of south central mindanao, philippines",2016,"Wildlife Biology in …","An_D_primary"
"1515","R Hansberry","prospects for nonchemical insect control—an industrial view",1968,"Bulletin of the ESA","An_D_primary"
"1517","M Dickemann","phylogenetic fallacies and sexual oppression",1992,"Human Nature","An_D_primary"
"1521","A Wetmore","prehistoric ornithology in north america",1928,"Journal of the Washington Academy of Sciences","An_D_primary"
"1528","GN Maraddi, SG Aski","integrated pest management knowledge of sugarcane growers towards sustainability.",2008,"Agriculture Update","An_D_primary"
"1529","R Peveling","environmental conservation and locust control—possible conflicts and solutions",2001,"Journal of Orthoptera Research","An_D_primary"
"1539","C Ohmart","ipm implementation at field level:“what are the impediments to grower adoption of ipm? why do they exist and what can be done to get around them?”",2008,"ENDURE International Conference","An_D_primary"
"1543","HS Proctor, G Carder, AR Cornish","searching for animal sentience: a systematic review of the scientific literature",2013,"Animals","An_D_primary"
"1545","KM Nattrass","und die tiere constitutional protection for germany's animals",2004,"AnImAl l.","An_D_primary"
"1549","TR New, AL Yen","insect conservation in australia",2012,"Insect Conservation: Past, Present and Prospects","An_D_primary"
"1551","J Craig, H Moller, D Saunders, M Williams","enhancing our heritage: conservation for 21st century new zealanders: ways forward from the tahi group of concerned scientists",2013,"Pacific Conservation Biology","An_D_primary"
"1559","ZS Ma, AW Krings","insect sensory systems inspired computing and communications",2009,"Ad Hoc Networks","An_D_primary"
"1571","O Maller","the late psychopathology of former concentration camp-inmates; pp. 140–158",1964,"European Neurology","An_D_primary"
"1582","H Mohr","the structure of teleological action",1977,"Lectures on Structure and Significance of Science","An_D_primary"
"1587","D Igelsrud","animal rights and welfare",1987,"The American Biology Teacher","An_D_primary"
"1589","J Tracey, M Bomford, Q Hart, G Saunders, R Sinclair","d**? rerereie* rererere ôj* rerererererererere?",0,"","An_D_primary"
