"","Authors","Title","Year","Source","grp"
"491","N Clements","“army of sufferers”: the experience of tasmania's black line",2013,"Journal of Australian Studies","A_An_primary"
"500","E Blanco, GE Fedreheim","national parks in norway as socio-ecological system: wildlife, conflict in use, and community-based management",2011,"13th IASC international conference. …","A_An_primary"
"501","KR Hickey","a geographical perspective on the decline and extermination of the irish wolf canis lupus—an initial assessment",2000,"Irish Geography","A_An_primary"
"502","FP Bosselman","extinction and the law: protection of religiously-motivated behavior",1992,"Chi.-Kent L. Rev.","A_An_primary"
"506","LD Mech","the wolves of denali",2003,"","A_An_primary"
"509","S Wise","20 the capacity of non-human animals for legal personhood and legal rights",2013,"The Politics of Species: Reshaping Our Relationships …","A_An_primary"
"512","M Clifton","commentary. how to eradicate canine rabies: a perspective of historical efforts",2011,"Asian Biomedicine","A_An_primary"
"518","JE Swenson","action plan for the conservation of the brown bear in europe (ursus arctos)",2000,"","A_An_primary"
"525","TA UCHIDA","rat-control procedures on the pacific islands, with special reference to the efficiency of biological control agents. i",1969,"Journal of the Faculty of Agriculture, Kyushu …","A_An_primary"
"528","R Jacinto","whilkut, white settlers, worlds apart",1999,"","A_An_primary"
"537","JE Swenson, F Sandegren, A Bjärvall, P Wabakken","living with success: research needs for an expanding brown bear population",1998,"Ursus","A_An_primary"
"538","CJ Manganiello","from a howling wilderness to howling safaris: science, policy and red wolves in the american south",2009,"Journal of the History of Biology","A_An_primary"
"555","M Amruth","consecrating the profane: setting up a game sanctuary in tiruvitamkur",0,"researchgate.net","A_An_primary"
"556","H Rumble, J Troyer, T Walter, K Woodthorpe","disposal or dispersal? environmentalism and final treatment of the british dead",2014,"Mortality","A_An_primary"
"557","M Burger","environmental law/environmental literature",2013,"","A_An_primary"
"564","GH Hepting","death of the american chestnut",1974,"Journal of Forest History","A_An_primary"
"565","D Merskin","1 media theories and the crossroads of critical animal and media studies",2015,"Critical Animal and Media Studies: Communication …","A_An_primary"
"575","IP Gerasimov","the present state of the natural environment in europe",1972,"Soviet Geography","A_An_primary"
"578","Æ Sigurjónsdóttir, ÓP Jónsson","art, ethics and environment: a free inquiry into the vulgarly received notion of nature",2009,"","A_An_primary"
"579","CM Crockett","conservation biology of the genus alouatta",1998,"International Journal of Primatology","A_An_primary"
"600","IM Evans, RH Dennis, DC Orr-Ewing, N Kjellen, ...","the re-establishment of red kite breeding populations in scotland and england",1997,"British Birds","A_An_primary"
"609","K Johnson","a report on trap/alter/release programs (c) 1995",0,"theanimalcouncil.org","A_An_primary"
"618","J Evans","social constructions of nature",2008,"An Introduction to Human Geography, 3rd ed. Pearson …","A_An_primary"
"626","J Riddle","bhopal",2002,"","A_An_primary"
"638","RH Pedersen, T Jacob, F Maganga, O Kweka","rights to land and extractive resources in tanzania (1/2): the history",2016,"","A_An_primary"
"643","CC Tribes","gray wolf management plan",2017,"","A_An_primary"
"659","AL Bakker","representing the wild. a study on animal advocacy in policy networks surrounding dutch human-wildlife conflicts: the cases of geese and muskrats",2013,"","A_An_primary"
"674","BMH Larson","the war of the roses: demilitarizing invasion biology",2005,"Frontiers in Ecology and the Environment","A_An_primary"
"676","ZV Fedorinova, ON Kalachikova","case study technology in language teaching",0,"portal.tpu.ru","A_An_primary"
"677","D Shilling","aldo leopold listens to the southwest",2009,"Journal of the Southwest","A_An_primary"
"688","DG Sobey","an analysis of the historical records for the native mammalian fauna of prince edward island",2007,"The Canadian Field-Naturalist","A_An_primary"
"689","K Jones, AFG Fire, P Pleas","ethics, place and",0,"researchgate.net","A_An_primary"
"693","J Pouchepadass","colonialism and environment in india: comparative perspective",1995,"Economic and Political Weekly","A_An_primary"
"696","WT De Groot, N Zwaal","storytelling as a medium for balanced dialogue on conservation in cameroon",2007,"Environmental Conservation","A_An_primary"
"720","R Lindayati","cities feeding people",0,"infohouse.p2ric.org","A_An_primary"
"724","J Atherton","the fly and the fish: angling instructions and reminiscences",2016,"","A_An_primary"
"736","TJ Schoenbaum","natural area preservation in the soviet union and the united states: a comparative perspective",1976,"The American Journal of Comparative Law","A_An_primary"
"748","HPP Lötter","should humans interfere in the lives of elephants?",2005,"Koers-Bulletin for Christian Scholarship","A_An_primary"
"753","S STÅHLBERG, I SVANBERG","according to eighteenth-century travel reports",0,"sgr.fi","A_An_primary"
"756","D Jenner","the feral pigeon",0,"archivedsites.citigraphics.net","A_An_primary"
"760","F Nietzsche","the sick animal",1996,"A View to a Death in the Morning","A_An_primary"
"765","M Pearson","bathurst plains and beyond: european colonisation and aboriginal resistance",1984,"Aboriginal History","A_An_primary"
"766","MD Sokolsky","taming tiger country: colonization and environment in the russian far east, 1860-1940",2016,"","A_An_primary"
"774","M Lewyn","atlanta jewish times op-eds",0,"works.bepress.com","A_An_primary"
"778","R Jeffers","a fatal disease of nature",1996,"A View to a Death in the Morning","A_An_primary"
"786","DC Duffy, P Capece","biology and impacts of pacific island invasive species. 7. the domestic cat (felis catus) 1",2012,"Pacific Science","A_An_primary"
"788","SGW McGee","a challenge from the capitol",1972,"Natural Resources Lawyer","A_An_primary"
"792","L Russell","what are the parks for: making policy explicit in the park service's nepa decisions",2014,"Ecology LQ","A_An_primary"
"796","H Sernert","attacks on humans in sweden by bear, wolf, lynx, wolverine, moose and wild boar in relation to swedes' fear for these animals",2011,"","A_An_primary"
"800","JEH Smith","3. a form of war",2014,"Animal Minds & Animal Ethics: Connecting Two …","A_An_primary"
"802","T Hay-Edie","protecting the treasures of the earth: nominating dolpo as a world heritage site",2001,"European Bulletin of Himalayan Research","A_An_primary"
"808","EA Ilyinsky","integrated evaluation of the efficiency of diverse strategies of regulating stray animal numbersin urban ecosystems",2011,"?.: RUFN–2011, 72?","A_An_primary"
"813","GL Day","status and distribution of wolves in the northern rocky mountains of the united states",1981,"","A_An_primary"
"820","M Kettunen, J Heikkilä, E Underwood, I Vyliaudaite","instruments for financing action on invasive alien species (ias): review and assessment of selected examples and their applicability in finland",2014,"","A_An_primary"
"821","C Crossley","anglophobia and anti-semitism: the case of alphonse toussenel (1803-1885)",2004,"Modern & Contemporary France","A_An_primary"
"826","RE Coker","role of science in marine fisheries: limitations and potentialities",1956,"","A_An_primary"
"827","CA Tisdell","wild pigs: environmental pest or economic resource?",2013,"","A_An_primary"
"830","H Sprout, M Sprout","the context of environmental politics: unfinished business for america's third century",2015,"","A_An_primary"
"832","P Dendle","cryptozoology in the medieval and modern worlds",2006,"Folklore","A_An_primary"
"835","D Isaksson","predation and shorebirds: predation management, habitat effects and public opinions",2009,"","A_An_primary"
"842","KW Zoehfeld","wild lives: a history of people & animals of the bronx zoo",2014,"","A_An_primary"
"845","MR George, WJ Clawson","history of uc rangeland extension, research, and teaching",0,"ucanr.edu","A_An_primary"
"848","T O'Reggio","living out the principles of the ten commandments",2010,"","A_An_primary"
"859","B Martin","to control or not to control? the need to control some alien species, the effectiveness of legislation and possible future developments in the law",2006,"Liverpool Law Review","A_An_primary"
"870","W Beinart, L Hughes","environment and empire",2007,"","A_An_primary"
"876","S Rajamannar","herein the british nimrod may view a new and arduous species of the chase",2012,"Reading the Animal in the Literature of the British Raj","A_An_primary"
"880","SR Kellert","kinship to mastery: biophilia in human evolution and development",2003,"","A_An_primary"
"889","O Ekler","the folly grail of science: medea 's robe in rachel carson 's silent spring",0,"… UNBOUND: TRANSGRESSING THE LIMITS IN ARTS …","A_An_primary"
"891","J Hey","for our class discussion on january 15-what is the most useful unit for conservation, species or esus?",0,"","A_An_primary"
"902","AK Gjerløff","when zoo became nature",2010,"Tidsskrift for kulturforskning","A_An_primary"
"905","RW Guldin","an analysis of the water situation in the united states: 1989-2040",1989,"US Government Documents (Utah Regional …","A_An_primary"
"906","F Viljoen","africa's contribution to the development of international human rights and humanitarian law",2001,"Afr. Hum. Rts. LJ","A_An_primary"
"908","RZ Hawkins","ecofeminism and nonhumans: continuity, difference, dualism, and domination",1998,"Hypatia","A_An_primary"
"914","W Robinson","from game to wildlife conservation rede?ning conservation",0,"rhinoresourcecenter.com","A_An_primary"
"924","AM Gade","islamic law and the environment in indonesia",2015,"Worldviews: Global Religions, Culture, …","A_An_primary"
"928","K Lundbladh","ecological design",2007,"","A_An_primary"
"931","CM MOFFITT, G Whelan, ...","historical perspectives on inland fisheries mangement in north america",2010,"… Fisheries Management in …","A_An_primary"
"933","S Pavlik, W Tsosie","navajo and the animal people: native american traditional ecological knowledge and ethnozoology",2014,"","A_An_primary"
"940","OM Shamte","the role of traditional environmental knowledge systems on conservation and management of forest resources: the case of mkoani, pemba island, tanzania",2010,"","A_An_primary"
"941","J Schmidt, J Janssen","camera trapping in southeast norway",2011,"","A_An_primary"
"947","PL Fitzgerald","good badger, bad badger: the impact of perspective on wildlife law and policy",2014,"J. Animal & Nat. Resource L.","A_An_primary"
"951","S Pooley","pressed flowers: notions of indigenous and alien vegetation in south africa's western cape, c. 1902–1945",2010,"Journal of southern African studies","A_An_primary"
"954","PP Principe","valuing the biodiversity of medicinal plants",1991,"The conservation of medicinal plants","A_An_primary"
"967","M Humphrey","three conceptions of irreversibility and environmental ethics: some problems",2001,"Environmental Politics","A_An_primary"
"969","R Ghesquiere","rereading robinson crusoe (defoe) and friday (tournier)–an ecocritical approach",2017,"Integral Ecology and Sustainable Business","A_An_primary"
"971","R Jobe, MD Sakari","reluctant readers: connecting students and books for successful reading experiences",1999,"","A_An_primary"
"979","JT Coleman","vicious: wolves and men in america",2008,"","A_An_primary"
"985","RH Schmidt","vertebrate pest control and animal welfare",1989,"Vertebrate Pest Control and Management Materials: …","A_An_primary"
"987","K Littin, P Fisher, NJ Beausoleil, ...","welfare aspects of vertebrate pest control and culling: ranking control techniques for humaneness",2014,"Revue scientifique et …","A_An_primary"
"993","B Jones, R Australia, H Cathles, WJ Landholder","solutions for achieving humane vertebrate pest control",2003,"… . Royal Society for the Prevention of …","A_An_primary"
"997","AU Ezealor, RH Giles Jr","vertebrate pests of a sahelian wetland agro-ecosystem: perceptions and attitudes of the indigenes and potential management strategies",1997,"International Journal of Pest …","A_An_primary"
"1000","BA Colvin, PL Hegdal, WB Jackson","public relations in environmental and vertebrate pest research",1983,"","A_An_primary"
"1001","AC Crabb, TP Salmon, RE Marsh","surveys as an approach to gathering animal damage information",1988,"Vertebrate Pest Control and …","A_An_primary"
"1003","P Fisher, B Warburton, D Morgan, P Cowan, ...","animal welfare in vertebrate pest management and research in new zealand",2008,"Proceedings of the …","A_An_primary"
"1005","JA Litsinger, EM Libetario, BL Canapi","eliciting farmer knowledge, attitudes, and~ practices in the development of integrated pest management programs for rice in asia",2009,"Integrated pest management: …","A_An_primary"
"1007","G Fitzgerald, N Fitzgerald, C Davidson","public attitudes towards invasive animals and their impacts",2007,"","A_An_primary"
"1011","J Sheail","the grey squirrel (sciurus carolinensis)—a uk historical perspective on a vertebrate pest species",1999,"Journal of Environmental Management","A_An_primary"
"1018","PJ Spear","bird control methods and devices--comments of the national pest control association",1966,"","A_An_primary"
"1022","F Firoozfar, M Baniardalani, ...","knowledge, attitudes and practices study in relation to entomophobia and its application in vector-borne-diseases",2012,"Asian Pacific Journal of …","A_An_primary"
"1028","I Thomas","recent developments in pest control",1966,"Royal Society of Health Journal","A_An_primary"
"1031","JA May","results of a non-lethal survey and report provided to the new mexico legislature",1996,"","A_An_primary"
"1034","PC Lee, NEC Priston","human attitudes to primates: perceptions of pests, conflict and consequences for primate conservation",2005,"… and conflict: The human-primate interface","A_An_primary"
"1039","WD Fitzwater","an assessment of the urban wildlife problem",1989,"","A_An_primary"
"1040","DL Ogada, PM Kibuthu","conserving mackinder's eagle owls in farmlands of kenya: assessing the influence of pesticide use, tourism and local knowledge of owl habits in protecting a …",2008,"Environmental Conservation","A_An_primary"
"1046","CT Eason, M Wickstrom, L Milne, B Warburton, ...","implications of animal welfare considerations for pest control research: the possum as a case study. ethical approaches to animal-based science",1997,"Proceedings of the Joint …","A_An_primary"
"1056","K Warner","pest control",2014,"Encyclopedia of Food and Agricultural Ethics","A_An_primary"
"1059","RM Timm","teaching vertebrate pest control: a challenge to wildlife professionals",1982,"Papers in Natural Resources","A_An_primary"
"1065","RF Reidinger Jr","keynote address--thoughts on the future of vertebrate pest management",1990,"","A_An_primary"
"1067","E Fliert, PC Matteson","rice integrated pest control training needs identified through a farmer survey in sri lanka.",1990,"Journal of Plant Protection in the Tropics","A_An_primary"
"1069","BR Acord","responses of the adc program to a changing american society",1992,"","A_An_primary"
"1070","Y Meheretu, W Kiros, D Seppe, R Dirk, M Rhodes, ...","farmers' perspectives of rodent damage and management from the highlands of tigray, northern ethiopian.",2010,"Crop Protection","A_An_primary"
"1078","E Moodie","the potential for biological control of feral cats in australia",1995,"","A_An_primary"
"1084","TP O'Connor","human refuse as a major ecological factor in medieval urban vertebrate communities",2000,"","A_An_primary"
"1085","Z Lixiang","teaching the right outlook on nature in middle school environmental education",2004,"Chinese Education & Society","A_An_primary"
"1086","M Bomford, P O'Brien","a role for fertility control wildlife management in australia?",1992,"","A_An_primary"
"1092","JC Hamilton, RJ Johnson, RM Case, ...","assessment of squirrel-caused power outages",1989,"Vertebrate Pest Control …","A_An_primary"
"1096","J Evans, PL Hegdal, RE Griffith Jr","methods of controlling jackrabbits",1970,"","A_An_primary"
"1098","H Olkowski, W Olkowski","entomophobia in the urban ecosystem, some observations and suggestions",1976,"Bulletin of the ESA","A_An_primary"
"1104","MW Cummings","control of pocket gophers",1962,"","A_An_primary"
"1107","TA Messmer","human–wildlife conflicts: emerging challenges and opportunities",2009,"Human-Wildlife Conflicts","A_An_primary"
"1110","J Cai, Z Jiang, Y Zeng, C Li, BD Bravery","factors affecting crop damage by wild boar and methods of mitigation in a giant panda reserve",2008,"European Journal of Wildlife …","A_An_primary"
"1122","AC van Bruggen, SM Wells","the conservation of non-marine molluscs in perspective",1995,"… of the Mollusca at the eleventh …","A_An_primary"
"1123","T Kingston","cute, creepy, or crispy—how values, attitudes, and norms shape human behavior toward bats",2016,"Bats in the Anthropocene: Conservation of Bats in a …","A_An_primary"
"1126","M García-Llorente, B Martín-López, JA González, ...","social perceptions of the impacts and benefits of invasive alien species: implications for management",2008,"Biological …","A_An_primary"
"1136","PJ Seddon, DP Armstrong, RF Maloney","developing the science of reintroduction biology",2007,"Conservation biology","A_An_primary"
"1138","SR Kellert","social and perceptual factors in endangered species management",1985,"The Journal of Wildlife Management","A_An_primary"
"1141","Y Ntiamoa-Baidu","west african wildlife: a resource in jeopardy",1987,"Unasylva","A_An_primary"
"1145","MW Fall, WB Jackson","the tools and techniques of wildlife damage management—changing needs: an introduction",2002,"International biodeterioration & biodegradation","A_An_primary"
"1154","JC Russell, JG Innes, PH Brown, AE Byrom","predator-free new zealand: conservation country",2015,"BioScience","A_An_primary"
"1157","D Bajomi","deratization of budapest and five years of follow-up control measures",1980,"… of the 9th Vertebrate Pest Conference (1980)","A_An_primary"
"1159","RM PRINGLE","from daniel simberloff and marcel rejmánek, editors, encyclopedia of biological invasions, berkeley and los angeles: university of california press, 2011.",0,"International Journal of Pest Management","A_An_primary"
"1167","ML Flint","residential pesticide use in california: a report of surveys taken in the sacramento (arcade creek)",2003,"Stockton (Five-Mile Slough) and San Francisco Bay …","A_An_primary"
"1172","M Tweheyo, DM Tumusiime, ...","wildlife damage and control methods around lake mburo national park, uganda",2012,"… journal of pest …","A_An_primary"
"1174","I Phillips","ecology of infectious diseases in natural populations",1998,"Clinical Microbiology and Infection","A_An_primary"
"1179","LF Baker","pests in hospitals",1982,"Royal Society of Health Journal","A_An_primary"
"1183","M Bomford, Q Hart","risk assessment for importing and keeping exotic vertebrates in australia",1999,"Australian Journal of Environmental …","A_An_primary"
"1185","W Green, M Rohan","opposition to aerial 1080 poisoning for control of invasive mammals in new zealand: risk perceptions and agency responses",2012,"Journal of the Royal Society of New Zealand","A_An_primary"
"1192","B Szewczyk, L Rabalski, E Krol, W Sihler, ...","baculovirus biopesticides–a safe alternative to chemical protection of plants",2009,"Journal of …","A_An_primary"
"1204","CR Dickman","the complex pest: interaction webs between pests and native species",2007,"Pest or Guest: the zoology of overabundance","A_An_primary"
"1208","WJFYY Haihui","survey on damages caused by wild hares to forests in west liaoning [j]",2009,"Chinese Journal of Wildlife","A_An_primary"
"1209","RL Rabb","world food, pest losses, and the environment",1979,"","A_An_primary"
"1225","NP Tuan, SJ Williams, PR Brown, ...","farmers' perceptions and practices in rat management in vinh phuc province, northern vietnam",2003,"ACIAR MONOGRAPH …","A_An_primary"
"1231","LJ McLeod, DW Hine, PM Please, AB Driver","applying behavioral theories to invasive animal management: towards an integrated framework",2015,"Journal of environmental …","A_An_primary"
"1233","M Sagoff","third-generation biotechnology a first look",2008,"Issues in Science and Technology","A_An_primary"
"1240","AM ENYINNAYA, OO OKOLI","an ecological view of cassava mealybug (phenacoccus",1982,"… on Control of …","A_An_primary"
