"","Authors","Title","Year","Source","grp"
"301","M Rangarajan","the raj and the natural world: the war against'dangerous beasts' in colonial india",1998,"Studies in history","A_T_primary"
"302","A Marker","moriori people",0,"thegrid.co.nz","A_T_primary"
"307","DP Pandey, GS Pandey, ...","public perceptions of snakes and snakebite management: implications for conservation and human health in southern nepal",2016,"Journal of …","A_T_primary"
"313","AF Skutch","biocompatibility: a criterion for conservation",1998,"Revista de Biología Tropical","A_T_primary"
"321","S Borkfelt","the non-human colonial subject: the importance of animal bodies to british imperialism",2010,"","A_T_primary"
"322","R Scruton","our love for animals",2013,"Journal of bioethical inquiry","A_T_primary"
"327","JA Moore","proceedings [of the international congress of zoology, 16th, 1963, washington, dc",1964,"","A_T_primary"
"334","NR Cimala","wind cave bison station",2014,"","A_T_primary"
"336","????????, ???????","seeing the wolf through sami eyes: understanding human dimensions of wildlife conflict in nothern sweden",2014,"","A_T_primary"
"341","C Cottam, A Leopold, WL Finley, VH Cahalane","report of the committee on bird protection, 1941",1942,"The Auk","A_T_primary"
"344","AGL Forward","posts tagged with audubon society",0,"voxfelina.com","A_T_primary"
"348","YM Barilan","speciesism as a precondition to justice",2004,"Politics and the Life Sciences","A_T_primary"
"351","AJ Caven","the construction of human's identity in nature by opposing social movements in the idaho wolf wars",2009,"","A_T_primary"
"356","SP Hays","a history of environmental politics since 1945",2000,"","A_T_primary"
"359","EF Shores","the red imported fire ant: mythology and public policy, 1957-1992",1994,"The Arkansas Historical Quarterly","A_T_primary"
"360","PR Flowers","shaping state identity: international law and whaling in japan",2008,"Pacific Focus","A_T_primary"
"369","G Bostedt, P Grahn","estimating cost functions for the four large carnivores in sweden",2008,"Ecological Economics","A_T_primary"
"382","S HERRERO","conflicts between man and grizzly bears in the",0,"JSTOR","A_T_primary"
"383","K Schmidt-Soltau","human activities and conservation efforts in and around korup national park (cameroon)",0,"schmidt-soltau.de","A_T_primary"
"397","S Wilcox","savage jaguars, king cats, and ghostly tigres: affective logics and predatory natures in twentieth-century american nature writing",2017,"The Professional Geographer","A_T_primary"
"405","DA Strickland","on ambiguity in political rhetoric: defeat of the rat control bill in the house of representatives, july 1967",1969,"Canadian Journal of Political Science/Revue …","A_T_primary"
"411","TL Anderson","the esa through coase-colored glasses",2008,"Protecting Endangered Species in the United …","A_T_primary"
"420","SA Stone, SW Breck, J Timberlake, ...","adaptive use of nonlethal strategies for minimizing wolf–sheep conflict in idaho",2017,"Journal of …","A_T_primary"
"423","J Knight","monkeys on the move: the natural symbolism of people-macaque conflict in japan",1999,"The Journal of Asian Studies","A_T_primary"
"428","JR Kirkland","the roots of altruism in the taoist tradition",1986,"Journal of the American Academy of Religion","A_T_primary"
"429","S Shapiro","caught in a web: the implications of ecology for radical symmetry in sts",1997,"","A_T_primary"
"434","B Zeide","conceptual issues of ecosystem management",1999,"Journal of Sustainable Forestry","A_T_primary"
"438","R Pierotti","the world according to is'a: combining empiricism and spiritual understanding in indigenous ways of knowing",2011,"Ethnobiology, edited by EN Anderson, DM Pearsall, ES …","A_T_primary"
"441","E Hamman, K Woolaston, B Lewis","legal responses to human-wildlife conflict: the precautionary principle, risk analysis and the 'lethal management'of endangered species",2017,"","A_T_primary"
"444","JL Sax","ownership, property, and sustainability",2011,"Utah Envtl. L. Rev.","A_T_primary"
"447","JC Truett","migrations of grassland communities and grazing philosophies in the great plains: a review and implications for management",2003,"Great Plains Research","A_T_primary"
"452","L Aran",". the forgotten dead: representations of the past in the tibetan refugee community in india",2005,"Genocide: Approaches, Case Studies, and Responses","A_T_primary"
"453","A Fraser","public attitudes to pest control",2006,"A literature review. Department of Conservation, …","A_T_primary"
"456","D Todd","wolves-predator control and endangered species protection: thoughts on politics and law",1992,"S. Tex. L. Rev.","A_T_primary"
"462","J Seeley, A Skabelund","tigers—real and imagined—in korea's physical and cultural landscape",2015,"Environmental History","A_T_primary"
"470","NA Waer","wildlife management",2005,"Urban Wildlife Management","A_T_primary"
"472","R Levine","indiane, conservation, and george bird grinnell",1987,"American Studies","A_T_primary"
"476","P Coates","a tale of two squirrels: a british case study of the sociocultural dimensions of debates over invasive species",2014,"Invasive Species in a Globalized World: Ecological, …","A_T_primary"
"477","S Rouse","wolf perception and policy in the united states: an analysis of two red wolf reintroduction programs",2012,"","A_T_primary"
"487","T Mannhart","a catch-neuter-release project for free-roaming dogs and cats in rhodes, greece: problem analysis and effectiveness of the strategy",2007,"","A_T_primary"
"493","K Jones","writing the wolf: canine tales and north american environmental-literary tradition",2011,"Environment and History","A_T_primary"
"495","E Marris","the new normal june 4, 2010 climate, restoration 8 comment",0,"conservationmagazine.org","A_T_primary"
"496","BB Hosetti","concepts in wildlife management",2005,"","A_T_primary"
"517","D Pimentel, DA Andow","pest management and pesticide impacts",1984,"International Journal of Tropical Insect …","A_T_primary"
"520","F Birkin","the ecological accountant: from the cogito to thinking like a mountain",1996,"Critical Perspectives on Accounting","A_T_primary"
"530","L Price","animals, governance and ecology: managing the menace of venomous snakes in colonial india",2017,"Cultural and Social History","A_T_primary"
"536","PR Nisha","ban and benevolence: circus, animals and indian state",2017,"The Indian Economic & Social History Review","A_T_primary"
"550","R Caras","the humane movement and the survival of all living things",1969,"","A_T_primary"
"567","I Harris, P Mische","on the relationship between peace education and environmental education",2005,"2005-2006 Annual Edition ISSN 1095-1962","A_T_primary"
"587","R Acampora","oikos and domus: on constructive co-habitation with other creatures",2004,"Philosophy & Geography","A_T_primary"
"590","JE Swenson","the ecology of an increasing brown bear population: managing a successful recovery",2003,"","A_T_primary"
"594","R Andersen, JDC Linnell, ...","the future role of large carnivores in terrestrial trophic interactions: the northern temperate view",2006,"CONSERVATION …","A_T_primary"
"597","T Van Dooren","invasive species in penguin worlds: an ethical taxonomy of killing for conservation",2011,"Conservation and Society","A_T_primary"
"599","JL Warren","ecological poetry",2016,"Aldo Leopold's Odyssey, Tenth Anniversary Edition","A_T_primary"
"601","GD Van Epps","water resources--the interest and rights therein of the citizen-beneficiary: a discussion of new york law",1969,"Syracuse L. Rev.","A_T_primary"
"602","WL Franklin, MM Grigione","the enigma of guanacos in the falkland islands: the legacy of john hamilton",2005,"Journal of biogeography","A_T_primary"
"607","A MICA","moral panic, risk or hazard society-the relevance of a theoretica model and framings otmaidan dogs in chi^ inau and bucharest",0,"JSTOR","A_T_primary"
"610","TA Graziano","an ecofeminist model for wildlife film",2005,"","A_T_primary"
"612","T McBride","the dangers of liberal neo-colonialism: elephants, ivory and the cites treaty: the dilemmas of africanization: choices and dangers for sub-saharan africa. by l. …",1999,"BC Third World LJ","A_T_primary"
"615","DL Mann, JG Nelson","ideology and wildlands management: the case of rondeau provincial park, ontario",1980,"Environmental Management","A_T_primary"
"620","A Mica","moral panic, risk or hazard society—the relevance of a theoretical model and framings of maidan dogs in chisinau and bucharest",2010,"","A_T_primary"
"622","F Mazzino","the concept of limits in landscape planning and design",2015,"Nature Policies and Landscape Policies","A_T_primary"
"629","AP Harris","should people of color support animal rights",2009,"J. Animal L.","A_T_primary"
"631","J Sheail","government and the management of an alien pest species: a british perspective",2003,"Landscape Research","A_T_primary"
"632","P Michie","alaskan natives: eskimos and bowhead whales: an inquiry into cultural and environmental values that clash in courts of law",1979,"American Indian Law Review","A_T_primary"
"648","K Brown","from ubombo to mkhuzi: disease, colonial science, and the control of nagana (livestock trypanosomosis) in zululand, south africa, c. 1894–1953",2008,"Journal of the history of medicine and allied sciences","A_T_primary"
"649","D Tarlock","australian and united states law of aboriginal land rights: a comparative perspective",1998,"Vt. J. Envtl. L.","A_T_primary"
"657","M Engel Jr, K Jenni","examined lives: teaching humananimal studies in philosophy",2010,"Teaching the animal: Human-animal studies …","A_T_primary"
"660","L Bal?iauskas, M Kazlauskas, T Randveer","lynx acceptance in poland, lithuania, and estonia.",2010,"Estonian Journal of Ecology","A_T_primary"
"664","LP Carswell, SG Speckman, VA Gill","shellfish fishery conflicts and perceptions of sea otters in california and alaska",2014,"Sea Otter Conservation","A_T_primary"
"669","JB Callicott","the conceptual foundations of the land ethic.",1998,"Technology and values: Essential readings","A_T_primary"
"672","K Peggs","animals, leisure and culture",2012,"Animals and Sociology","A_T_primary"
"675","TK Shrestha","herpetology of nepal: a field guide to amphibians and reptiles of trans-himalayan region of asia",2000,"","A_T_primary"
"681","CM Vargas","sustainable development education: averting or mitigating cultural collision",2000,"International Journal of Educational Development","A_T_primary"
"682","ZJ Kaplan","a socialist drumont? alphonse toussenel and the jews",2015,"Jewish History","A_T_primary"
"701","H Rolston","environmental ethics",2012,"","A_T_primary"
"714","WT STANLEY","impalas involves sites on gabbro and granite formations as well as the deter-mination of rumen parameters and botanical composition of oesophageal samples.(130) …",1996,"African Journal ofEcology. United …","A_T_primary"
"718","S Houser, V Teller, M MacCracken, ...","potential consequences of climate variability and change for native peoples and homelands",2001,"… change impacts on …","A_T_primary"
"725","LA Iozzi","of animals, nature and people.[student's guide.] preparing for tomorrow's world.",1980,"","A_T_primary"
"728","????, ???","reat basin naturalist memoi",0,"scholarsarchive.byu.edu","A_T_primary"
"729","J Drozdowski","saving an endangered act: the case for a biodiversity approach to esa conservation efforts",1994,"Case W. Res. L. Rev.","A_T_primary"
"730","J Emel","are you man enough, big and bad enough? ecofeminism and wolf eradication in the usa",1995,"Environment and Planning D: Society and Space","A_T_primary"
"732","B Ashcroft, G Griffiths, H Tiffin","key concepts in post-colonial studies",1998,"","A_T_primary"
"737","EM Weeks","out of africa & into the sunshine state: tracking an exotic invader",2013,"","A_T_primary"
"738","K Hutchings","transatlantic 3 extinctions and the “vanishing american”",2016,"… Literary Ecologies: Nature and Culture in the …","A_T_primary"
"747","JEH Smith","a form of war: animals, humans, and the shifting boundaries of community",2013,"Animal Minds & Animal Ethics: Connecting Two …","A_T_primary"
"751","JL Alderson","assessment of the urban public's knowledge of white-tailed deer management in two texas communities",2010,"","A_T_primary"
"754","SR Kellert","the value of life: biological diversity and human society",1997,"","A_T_primary"
"770","C CONSEIL, OFE DE L'EUROPE","status and conservation needs",1990,"","A_T_primary"
"771","AJ Satterthwaite","public voices and wilderness in environmental assessment: a philosophical examination of resource policy decisions.",1998,"","A_T_primary"
"773","B Swedlow","using the boundaries of science to do boundary-work among scientists: pollution and purity claims",2007,"Science and Public Policy","A_T_primary"
"775","DB Laird Jr","de-indianizing the american indian: an essay on the education of the american indian.",1970,"","A_T_primary"
"785","K Kozawa, Y Aoyama, S Mashimo, H Kimura","toxicity and actual regulation of organophosphate pesticides",2009,"Toxin Reviews","A_T_primary"
"791","WR Echo-Hawk","under native american skies",2009,"The George Wright Forum","A_T_primary"
"794","KM Sands","the autobiography of refugio savala, a yaqui poet",1977,"","A_T_primary"
"799","T Callahan","the observer [volume xviii, issue 1]",2010,"","A_T_primary"
"815","G Bearzi, C FORTUNA, RR Reeves","ecology and conservation of common bottlenose dolphins tursiops truncatus in the mediterranean sea",2009,"Mammal Review","A_T_primary"
"825","VV Glukhov, ZI Lialina, YV Rozhkov, ...","household as a participant of an innovation ecosystem",2016,"… of Management and …","A_T_primary"
"834","A Özkara, D Aky?l, M Konuk","pesticides, environmental pollution, and health",2016,"Environmental Health Risk- …","A_T_primary"
"836","BE March","bioethical problems: animal welfare, animal rights",1984,"BioScience","A_T_primary"
"850","L Finley","the case of pine ridge and industrial hemp: genocidal actions and sovereignty violations",2003,"Online Journal of Justice Studies","A_T_primary"
"856","K Pyle","in-between potentials",2011,"","A_T_primary"
"862","L Van Sittert",""" keeping the enemy at bay"": the extermination of wild carnivora in the cape colony, 1889-1910",1998,"Environmental history","A_T_primary"
"872","A Sardanis","africa: another side of the coin: northern rhodesia's final years and zambia's nationhood",2011,"","A_T_primary"
"873","D Lindenmayer, J Franklin","towards forest sustainability",2003,"","A_T_primary"
"878","L Szabo-Jones","adventures in habitat: an urban tale",2013,"Canadian Literature","A_T_primary"
"881","R Aukerman, J Davison","the mountain land recreationist in new zealand: the first of three volumes on the current status and future direction of mountain land recreation in new …",1980,"","A_T_primary"
"895","B Game, B Business","the killing fields of south africa: eco-wars, species apartheid, and total liberation [1]",0,"uta.edu","A_T_primary"
"897","JL Wright","lessons from wolves: stakeholder perspectives and experiences with northern rocky wolf reintroduction",2014,"","A_T_primary"
"898","J Pouchepadass","colonialism and environment in india",2002,"Land, Labour and Rights","A_T_primary"
"900","A Carr","grass roots and green tape: principles and practices of environmental stewardship",2002,"","A_T_primary"
"907","G Mitman","hay fever holiday: health, leisure, and place in gilded-age america",2003,"Bulletin of the History of Medicine","A_T_primary"
"911","A Hope","a caledonian feast",2010,"","A_T_primary"
"915","WH Bumgardner","education, public access, and outdoor recreation",1993,"","A_T_primary"
"932","V Damodaran","environment, ethnicity and history in chotanagpur, india, 1850–1970",1997,"Environment and History","A_T_primary"
"934","A Sandberg","environmental backlash and the irreversibility of modernization",1998,"artículo presentado en la 7ª Conferencia de la …","A_T_primary"
"935","LK Morse","scampering in the city: examining the ecological and social viability of black-tailed prairie dogs (cynomys ludovicianus) in denver, colorado",2010,"","A_T_primary"
"942","M Joy","why we love dogs, eat pigs, and wear cows: an introduction to carnism",2011,"","A_T_primary"
"945","G Mwakikagile","namibia: conquest to independence: formation of a nation",2015,"","A_T_primary"
"948","A Brisman","environment and conflict: a typology of representations",2015,"… crime and social conflict: Contemporary and …","A_T_primary"
"950","AM Dussias","cultural conflicts regarding land use: the conflict between recreational users at devil's tower and native american ceremonial users",2000,"Vt. J. Envtl. L.","A_T_primary"
"955","E PFANNER","share this",2012,"The New York Times","A_T_primary"
"956","HK RUTO","factors influencing the involvement of women in the conservation and management of forests in chepalungu constituency",0,"erepository.uonbi.ac.ke","A_T_primary"
"959","WO Stephens","epictetus on beastly vices and animal virtues",2013,"Epictetus: His Continuing Influence and …","A_T_primary"
"965","J Odenbaugh","march 29, 2015",2015,"","A_T_primary"
"975","T Low","feral future: the untold story of australia's exotic invaders",1999,"","A_T_primary"
"976","J McMahan","the moral problem of predation",2015,"Philosophy Comes to Dinner: Arguments About the …","A_T_primary"
"983","MC Calver, DR King","controlling vertebrate pests with fluoroacetate: lessons in wildlife management, bio-ethics, and co-evolution",1986,"Journal of Biological Education","A_T_primary"
"986","RM Timm, SAD Schemnitz","attitude change toward vertebrate pest control",1988,"","A_T_primary"
"988","MJ Johnston, CA Marks","attitudinal survey on vertebrate pest management in victoria",1997,"","A_T_primary"
"990","GJ Hickling","animal welfare and vertebrate pest management: compromise or conflict",1994,"Animal Welfare in the Twenty-First Century: Ethical, …","A_T_primary"
"1004","REDW BLACKBIRDS","attitudes of canadians",1979,"Proceedings-Bird Control …","A_T_primary"
"1010","GA Hood","vertebrate control chemicals: current status of registrations, rebuttable presumptions against registrations, and effects on users",1978,"","A_T_primary"
"1016","JJ Packer, JDS Birks","an assessment of british farmers' and gamekeepers' experiences, attitudes and practices in relation to the european polecat mustela putorius",1999,"Mammal Review","A_T_primary"
"1029","HE Evans","new biological books reviews and brief notices the life of vertebrates. jz young",1982,"The Quarterly Review of Biology","A_T_primary"
"1032","M Morris","ethical approaches to animal-based science; innovation, ethics and animal welfare: public confidence in science and agriculture",2001,"Agriculture and Human Values","A_T_primary"
"1033","RH Schmidt","why do we debate animal rights?",1990,"Wildlife Society Bulletin (1973-2006)","A_T_primary"
"1041","DD Hey","keynote address--vertebrate pest animals in the province of the cape of good hope, republic of south africa",1974,"","A_T_primary"
"1045","IN OWERRI","cc asiabaka, m. ukpongson and k. okoroafor department of agricultural economics & extension",2015,"","A_T_primary"
"1048","WW Jacobs","required use of protective bait stations in the us",1990,"","A_T_primary"
"1049","A Myllymäki","anticoagulant resistance in europe: appraisal of the data from the 1992 eppo questionnaire",1995,"Pest Management Science","A_T_primary"
"1071","JM Williams","effects of public perceptions and global market strategy on the development of biological control technology in new zealand",1993,"New Zealand Journal of Zoology","A_T_primary"
"1075","R Bandara, C Tisdell","comparison of rural and urban attitudes to the conservation of asian elephants in sri lanka: empirical evidence",2003,"Biological Conservation","A_T_primary"
"1079","J Funk, WA Gebreyes","risk factors associated with salmonella prevalence on swine farms",2004,"Journal of Swine Health and Production","A_T_primary"
"1087","AJ Bath","the public and wolf reintroduction in yellowstone national park",1989,"Society & Natural Resources","A_T_primary"
"1089","LJ McLeod, GR Saunders","can legislation improve the effectiveness of fox control in nsw?",2011,"Australasian Journal of Environmental …","A_T_primary"
"1111","D Pimentel","training in pest management and the"" systems approach"" to control",1970,"Concepts of Pest Management. Proc. of a conference …","A_T_primary"
"1114","CT Eason, L Shapiro, P Adams, S Hix, C Cunningham, ...","advancing a humane alternative to sodium fluoroacetate (1080) for wildlife management–welfare and wallaby control",2010,"Wildlife Research","A_T_primary"
"1118","I Javaid","pest management practices in cotton in zambia.",1990,"Journal of Plant Protection in the Tropics","A_T_primary"
"1131","WB Jackson, AD Ashton","a review of available anticoagulants and their use in the united states",1992,"","A_T_primary"
"1137","J Parkes, R Henzell, G Pickles, M Bomford","managing vertebrate pests: feral goats",1996,"","A_T_primary"
"1142","M Khabibullov","herpetology",1999,"Environmental Geology","A_T_primary"
"1146","MAQ Khan","survival in toxic environments",2012,"","A_T_primary"
"1150","G Sasikala, P Neelanarayanan","perceptions of rice farmers on rodent management in tiruchirappalli district, tamil nadu.",2008,"Annals of Plant Protection …","A_T_primary"
"1156","FJL Smit","15 ethics in rodent control",2015,"Rodent Pests and Their Control","A_T_primary"
"1164","TG Barnes","urban nuisance wildlife control in kentucky",1993,"Great Plains Wildlife Damage Control …","A_T_primary"
"1169","RP Reading, BJ Miller, SR Kellert","values and attitudes toward prairie dogs",1999,"Anthrozoös","A_T_primary"
"1171","J Granett","potential of benzoylphenyl ureas in integrated pest management",1987,"Chitin and benzoylphenyl ureas","A_T_primary"
"1175","P Eby, D Lunney","managing the grey-headed flying-fox as a threatened species in nsw.",2002,"","A_T_primary"
"1178","Z Wang","acute rodenticides in the control of rodent pest in china: a review",1984,"","A_T_primary"
"1186","AR Felthous, SR Kellert","psychosocial aspects of selecting animal species for physical abuse",1987,"Journal of Forensic Science","A_T_primary"
"1189","S DeStefano, RM DeGraaf","exploring the ecology of suburban wildlife",2003,"Frontiers in Ecology and the …","A_T_primary"
"1191","JB Carter","viruses as pest-control agents",1984,"Biotechnology and genetic engineering reviews","A_T_primary"
"1197","NJ Hill, KA Carbery, EM Deane","human–possum conflict in urban sydney, australia: public perceptions and implications for species management",2007,"Human Dimensions of Wildlife","A_T_primary"
"1198","R Mykytowycz","a quarter of a century of studies of chemical communication in vertebrates",1986,"Chemical Signals in Vertebrates 4","A_T_primary"
"1199","S Kelton","control technology application what currently limits our effectiveness",1995,"POSSUMS AS CONSERVATION PESTS","A_T_primary"
"1211","MJ Raupp, MF Smith, JA Davidson","educational, environmental, and economic impacts of integrated management programs for landscape pests",1989,"Integrated pest management for turfgrass and …","A_T_primary"
"1212","SE Baker, DW Macdonald","foxes and foxhunting on farms in wiltshire: a case study",2000,"Journal of Rural Studies","A_T_primary"
"1213","AN Meyer, DE Kaukeinen","11 rodent control in practice: protection of humans and animal health",2015,"Rodent Pests and Their Control","A_T_primary"
"1226","M Fisher","a method for considering the acceptability of novel biotechnologies for the control of brushtail possums",2010,"K?tuitui: New Zealand Journal of Social Sciences …","A_T_primary"
"1230","CFN Poubom, ET Awah, M Tchuanyo, ...","farmers' perceptions of cassava pests and indigenous control methods in cameroon",2005,"International Journal of …","A_T_primary"
"1252","EB Meece","biology and the search for order and meaning",1972,"The American Biology Teacher","A_T_primary"
"1257","GW Witmer, PL Fuller","vertebrate species introductions in the united states and its territories",2011,"Current Zoology","A_T_primary"
"1274","WH Robinson","the changing status of the german cockroach in the urban environment",1999,"PROCEEDINGS OF THE NEW …","A_T_primary"
"1281","GJ Coleman","educating the public: information or persuasion?",2010,"Journal of veterinary medical education","A_T_primary"
"1287","P DeBach, D Rosen","biological control by natural enemies",1991,"","A_T_primary"
"1291","JD Nalewaja","the regulatory role of the applicator in developing, approving, using, and monitoring pesticides",1998,"Pesticide Formulations and Application Systems: …","A_T_primary"
"1299","WJ Keefover-Ring","mountain lions, myths, and media: a critical reevaluation of"" the beast in the garden""",2005,"","A_T_primary"
"1302","AL Brown, JC Campione","communities of learning and thinking, or a context by any other name",1990,"… on teaching and learning thinking skills","A_T_primary"
"1323","N Finch, P Murray, J Hoy, G Baxter","expenditure and motivation of australian recreational hunters",2014,"Wildlife Research","A_T_primary"
"1325","KE Jenks, N Songsasen, ...","local people's attitudes and perceptions of dholes (cuon alpinus) around protected areas in southeastern thailand",2014,"Tropical …","A_T_primary"
"1329","AR Lorenz, JC Libarkin, GJ Ording","disgust in response to some arthropods aligns with disgust provoked by pathogens",2014,"Global Ecology and Conservation","A_T_primary"
"1336","M Brazil","the wildlife of japan: a 20th-century naturalist's view",1992,"Japan Quarterly","A_T_primary"
"1342","EW Schaffer Jr","recent developments in bird damage control chemicals",1978,"","A_T_primary"
"1349","J Sheail","the mink menace: the politics of vertebrate pest control",2004,"Rural History","A_T_primary"
"1357","J Innes, G Barker","ecological consequences of toxin use for mammalian pest control in new zealand—an overview",1999,"New Zealand Journal of Ecology","A_T_primary"
"1372","JN Jimenez, ...","public knowledge and perception of toads and frogs in three areas of subtropical southeast china",2015,"Society & …","A_T_primary"
"1386","SG Aski, LV Hirevenkanagoudar","knowledge level of trained farmers about mango cultivation practices.",2014,"International Journal of Plant …","A_T_primary"
"1392","LMP Ceríaco, MP Marques, ...","folklore and traditional ecological knowledge of geckos in southern portugal: implications for conservation and science",2011,"Journal of …","A_T_primary"
"1394","A Carter, S Barr, C Bond, G Paske, D Peters, ...","controlling sympatric pest mammal populations in new zealand with self-resetting, toxicant-free traps: a promising tool for invasive species management",2016,"Biological …","A_T_primary"
"1402","OFEVIN AUSTRALIA","mary bomford",2003,"","A_T_primary"
"1403","O Harris, R Willis","world archaeological congress: two views and a factual account",1986,"Anthropology Today","A_T_primary"
