Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Document Type,,
"Ximenes, C.F., Rodrigues, S.M.L., Podratz, P.L., Merlo, E., de Araújo, J.F.P., Rodrigues, L.C.M., Coitinho, J.B., Vassallo, D.V., Graceli, J.B., Stefanon, I.",Tributyltin chloride disrupts aortic vascular reactivity and increases reactive oxygen species production in female rats,2017,Environmental Science and Pollution Research,,,,1,12,,,10.1007/s11356-017-0061-8,Article in Press,,
"Goedegebuure, M., Melbourne-Thomas, J., Corney, S.P., Hindell, M.A., Constable, A.J.",Beyond big fish: The case for more detailed representations of top predators in marine ecosystem models,2017,Ecological Modelling,359,,,182,192,,,10.1016/j.ecolmodel.2017.04.004,Review,,
"Poudyal, N.C., Caplenor, C., Joshi, O., Maldonado, C., Muller, L.I., Yoest, C.",Characterizing the economic value and impacts of wild pig damage on a rural economy,2017,Human Dimensions of Wildlife,,,,1,12,,,10.1080/10871209.2017.1368103,Article in Press,,
"Branciari, R., Galarini, R., Giusepponi, D., Trabalza-Marinucci, M., Forte, C., Roila, R., Miraglia, D., Servili, M., Acuti, G., Valiani, A.",Oxidative status and presence of bioactive compounds in meat from chickens fed polyphenols extracted from olive oil industry waste,2017,Sustainability (Switzerland),9,9,1566,,,,,10.3390/su9091566,Article,,
"Lauricella, T.K., Ford, J.K., Riley, S.J., Powers, C.L., Lederle, P.",Employee Perceptions Regarding an Organizational Change Initiative in a State Wildlife Agency,2017,Human Dimensions of Wildlife,22,5,,422,437,,,10.1080/10871209.2017.1342013,Article,,
"von Essen, E., Allen, M.P.","From Obstructionism to Communication: Local, National and Transnational Dimensions of Contestations on the Swedish Wolf Cull Controversy",2017,Environmental Communication,11,5,,654,666,,2,10.1080/17524032.2016.1269821,Article,,
"Ruvalcaba-Ortega, I., León, M.B.D., Mendiola-Castillo, S., González-Escalante, L., Canales-Del-Castillo, R., Mercado-Hernández, R., Guzmán-Velasco, A., González-Rojas, J.I.",Evaluation of Plasma Cholinesterase Activity in Native Birds from Pesticide-Exposed Agricultural Lands,2017,Rangeland Ecology and Management,70,5,,584,588,,,10.1016/j.rama.2017.03.003,Article,,
"Bean, W.T., Baumbusch, R.C., Berger, B., Delheimer, M., Hecker, L.J., Lau, M., Milligan, M.C.",What should go in a wildlife professional's geospatial toolbox?,2017,Wildlife Society Bulletin,41,3,,605,610,,,10.1002/wsb.795,Article,,
"Law, B.S., Chidel, M., Brassil, T., Turner, G., Gonsalves, L.",Winners and losers among mammals and nocturnal birds over 17 years in response to large-scale eucalypt plantation establishment on farmland,2017,Forest Ecology and Management,399,,,108,119,,,10.1016/j.foreco.2017.05.022,Article,,
"Breisjøberget, J.I., Storaas, T., Odden, M.",Ptarmigan hunting restrictions: Effects on hunters’ opinions and harvest,2017,Journal of Wildlife Management,81,7,,1179,1186,,,10.1002/jwmg.21302,Article,,
"Narango, D.L., Tallamy, D.W., Marra, P.P.",Native plants improve breeding and foraging habitat for an insectivorous bird,2017,Biological Conservation,213,,,42,50,,1,10.1016/j.biocon.2017.06.029,Article,,
"Stevens, B.S., Bence, J.R., Porter, W.F., Jones, M.L.",Identifying target reference points for harvesting assessment-limited wildlife populations: A case study,2017,Ecological Applications,27,6,,1916,1931,,,10.1002/eap.1577,Article,,
"Duarte, A., Pearl, C.A., Adams, M.J., Peterson, J.T.",A new parameterization for integrated population models to document amphibian reintroductions,2017,Ecological Applications,27,6,,1761,1775,,,10.1002/eap.1564,Article,,
"Janke, A.K., Terhune, T.M., Gates, R.J., Long, C.R.",Northern bobwhite population responses to winter weather along their northern range periphery,2017,Wildlife Society Bulletin,41,3,,479,488,,,10.1002/wsb.779,Article,,
"Altamirano, T.A., Ibarra, J.T., Martin, K., Bonacic, C.",The conservation value of tree decay processes as a key driver structuring tree cavity nest webs in South American temperate rainforests,2017,Biodiversity and Conservation,26,10,,2453,2472,,1,10.1007/s10531-017-1369-x,Article,,
"Ditchkoff, S.S., Holtfreter, R.W., Williams, B.L.",Effectiveness of a bounty program for reducing wild pig densities,2017,Wildlife Society Bulletin,41,3,,548,555,,,10.1002/wsb.787,Article,,
"Clausen, K.K., Holm, T.E., Haugaard, L., Madsen, J.",Crippling ratio: A novel approach to assess hunting-induced wounding of wild animals,2017,Ecological Indicators,80,,,242,246,,,10.1016/j.ecolind.2017.05.044,Article,,
"Sheppard, J.L., Arnold, T.W., Amundson, C.L., Klee, D.",Effects of surgically implanted transmitters on reproduction and survival in mallards,2017,Wildlife Society Bulletin,41,3,,597,604,,,10.1002/wsb.809,Article,,
"Sullivan, T.P., Sullivan, D.S., Sullivan, J.H.-R.",Mammalian responses to windrows of woody debris on clearcuts: Abundance and diversity of forest-floor small mammals and presence of small mustelids,2017,Forest Ecology and Management,399,,,143,154,,,10.1016/j.foreco.2017.05.028,Article,,
"Garabedian, J.E., Moorman, C.E., Nils Peterson, M., Kilgo, J.C.",Use of LiDAR to define habitat thresholds for forest bird conservation,2017,Forest Ecology and Management,399,,,24,36,,,10.1016/j.foreco.2017.05.024,Article,,
"Engel, M.T., Vaske, J.J., Marchini, S., Bath, A.J.",Knowledge about big cats matters: Insights for conservationists and managers,2017,Wildlife Society Bulletin,41,3,,398,404,,,10.1002/wsb.798,Article,,
"Ewacha, M.V.A., Roth, J.D., Anderson, W.G., Brannen, D.C., Dupont, D.L.J.",Disturbance and chronic levels of cortisol in boreal woodland caribou,2017,Journal of Wildlife Management,81,7,,1266,1275,,,10.1002/jwmg.21288,Article,,
"Hatter, I.W., Dielman, P., Kuzyk, G.W.",An integrated modeling approach for assessing management objectives for mule deer in central British Columbia,2017,Wildlife Society Bulletin,41,3,,508,515,,,10.1002/wsb.781,Article,,
"Engel, M.T., Vaske, J.J., Bath, A.J., Marchini, S.",Attitudes toward jaguars and pumas and the acceptability of killing big cats in the Brazilian Atlantic Forest: An application of the Potential for Conflict Index<inf>2</inf>,2017,Ambio,46,5,,604,612,,,10.1007/s13280-017-0898-6,Article,,
"Edwards, P.J., Leopold, A., Beavers, J.B., Springer, T.A., Chapman, P., Maynard, S.K., Hubbard, P.",More for less: Analysis of the performance of avian acute oral guideline OECD 223 from empirical data,2017,Integrated Environmental Assessment and Management,13,5,,906,914,,,10.1002/ieam.1930,Article,,
"Geaumont, B.A., Sedivec, K.K., Schauer, C.S.",Ring-Necked Pheasant Use of Post - Conservation Reserve Program Lands,2017,Rangeland Ecology and Management,70,5,,569,575,,,10.1016/j.rama.2017.04.003,Article,,
"Gray, T.N.E., Crouthers, R., Ramesh, K., Vattakaven, J., Borah, J., Pasha, M.K.S., Lim, T., Phan, C., Singh, R., Long, B., Chapman, S., Keo, O., Baltzer, M.",A framework for assessing readiness for tiger Panthera tigris reintroduction: a case study from eastern Cambodia,2017,Biodiversity and Conservation,26,10,,2383,2399,,,10.1007/s10531-017-1365-1,Article,,
"Arnold, T.W., Afton, A.D., Anteau, M.J., Koons, D.N., Nicolai, C.A.",Temporal variation in survival and recovery rates of lesser scaup: A response,2017,Journal of Wildlife Management,81,7,,1142,1148,,,10.1002/jwmg.21315,Note,,
"Assandri, G., Bogliani, G., Pedrini, P., Brambilla, M.",Insectivorous birds as ‘non-traditional’ flagship species in vineyards: Applying a neglected conservation paradigm to agricultural systems,2017,Ecological Indicators,80,,,275,285,,,10.1016/j.ecolind.2017.05.012,Article,,
"Andriuzzi, W.S., Wall, D.H.",Responses of belowground communities to large aboveground herbivores: Meta-analysis reveals biome-dependent patterns and critical research gaps,2017,Global Change Biology,23,9,,3857,3868,,,10.1111/gcb.13675,Article,,
"Thomas, M.L., Gunawardene, N., Horton, K., Williams, A., O’Connor, S., McKirdy, S., van der Merwe, J.",Many eyes on the ground: citizen science is an effective early detection tool for biosecurity,2017,Biological Invasions,19,9,,2751,2765,,,10.1007/s10530-017-1481-6,Article,,
"Hansen, L.P., Flinn, E.B., Sumners, J.A., Gao, X., Millspaugh, J.J.",Effects of an antler point restriction on harvest of white-tailed deer in Missouri,2017,Wildlife Society Bulletin,41,3,,516,522,,,10.1002/wsb.789,Article,,
"Timberlake, T.J., Schultz, C.A.","Policy, practice, and partnerships for climate change adaptation on US national forests",2017,Climatic Change,144,2,,257,269,,,10.1007/s10584-017-2031-z,Article,,
"Pereira, J.L.S.",Assessment of ammonia and greenhouse gas emissions from broiler houses in Portugal,2017,Atmospheric Pollution Research,8,5,,949,955,,,10.1016/j.apr.2017.03.011,Article,,
"Crane, A.L., Ferrari, M.C.O.",Patterns of predator neophobia: A meta-analytic review,2017,Proceedings of the Royal Society B: Biological Sciences,284,1861,20170583,,,,,10.1098/rspb.2017.0583,Review,,
"Kosi?ski, Z., Pluta, M., Ulanowska, A., Walczak, ?., Winiecki, A., Zar?bski, M.","Do increases in the availability of standing dead trees affect the abundance, nest-site use, and niche partitioning of great spotted and middle spotted woodpeckers in riverine forests?",2017,Biodiversity and Conservation,,,,1,23,,,10.1007/s10531-017-1425-6,Article in Press,,
"Joshi, O., Becerra, T.A., Engle, D.M., Fuhlendorf, S.D., Elmore, R.D.",Factors Affecting Public Preferences for Grassland Landscape Heterogeneity in the Great Plains,2017,Environmental Management,,,,1,9,,,10.1007/s00267-017-0921-5,Article in Press,,
"Boulad, N., Hamidan, N.",The use of a GIS-based multi-criteria evaluation technique for the development of a zoning plan for a seasonally variable Ramsar wetland site in Syria: Sabkhat Al-Jabboul,2017,Wetlands Ecology and Management,,,,1,12,,,10.1007/s11273-017-9568-5,Article in Press,,
"Savoca, M.S., Tyson, C.W., McGill, M., Slager, C.J.",Odours from marine plastic debris induce food search behaviours in a forage fish,2017,Proceedings of the Royal Society B: Biological Sciences,284,1860,20171000,,,,,10.1098/rspb.2017.1000,Article,,
"Yeldell, N.A., Cohen, B.S., Prebyl, T.J., Collier, B.A., Chamberlain, M.J.",Use of pine-dominated forests by female eastern wild turkeys immediately after prescribed fire,2017,Forest Ecology and Management,398,,,226,234,,,10.1016/j.foreco.2017.05.003,Article,,
"Doherty, T.S., van Etten, E.J.B., Davis, R.A., Knuckey, C., Radford, J.Q., Dalgleish, S.A.",Ecosystem Responses to Fire: Identifying Cross-taxa Contrasts and Complementarities to Inform Management Strategies,2017,Ecosystems,20,5,,872,884,,,10.1007/s10021-016-0082-z,Article,,
"Gallo, T., Stinson, L.T., Pejchar, L.",Mitigation for energy development fails to mimic natural disturbance for birds and mammals,2017,Biological Conservation,212,,,39,47,,,10.1016/j.biocon.2017.05.023,Article,,
"Dubois, S., Fenwick, N., Ryan, E.A., Baker, L., Baker, S.E., Beausoleil, N.J., Carter, S., Cartwright, B., Costa, F., Draper, C., Griffin, J., Grogan, A., Howald, G., Jones, B., Littin, K.E., Lombard, A.T., Mellor, D.J., Ramp, D., Schuppli, C.A., Fraser, D.",International consensus principles for ethical wildlife control,2017,Conservation Biology,31,4,,753,760,,,10.1111/cobi.12896,Article,,
"Wallace, P., Martin, R., White, I.","Keeping pace with technology: drones, disturbance and policy deficiency",2017,Journal of Environmental Planning and Management,,,,1,18,,,10.1080/09640568.2017.1353957,Article in Press,,
"McKee, A.M., Maerz, J.C., Smith, L.L., Glenn, T.C.",Habitat predictors of genetic diversity for two sympatric wetland-breeding amphibian species,2017,Ecology and Evolution,7,16,,6271,6283,,,10.1002/ece3.3203,Article,,
"Mayor, P., El Bizri, H., Bodmer, R.E., Bowler, M.",Assessment of mammal reproduction for hunting sustainability through community-based sampling of species in the wild,2017,Conservation Biology,31,4,,912,923,,1,10.1111/cobi.12870,Article,,
"Tack, J.D., Quamen, F.R., Kelsey, K., Naugle, D.E.",Doing more with less: Removing trees in a prairie system improves value of grasslands for obligate bird species,2017,Journal of Environmental Management,198,,,163,169,,,10.1016/j.jenvman.2017.04.044,Article,,
"Youngquist, M.B., Eggert, S.L., D’Amato, A.W., Palik, B.J., Slesak, R.A.",Potential Effects of Foundation Species Loss on Wetland Communities: A Case Study of Black Ash Wetlands Threatened by Emerald Ash Borer,2017,Wetlands,37,4,,787,799,,,10.1007/s13157-017-0908-2,Review,,
"Pouwels, R., Sierdsema, H., Foppen, R.P.B., Henkens, R.J.H.G., Opdam, P.F.M., van Eupen, M.",Harmonizing outdoor recreation and bird conservation targets in protected areas: Applying available monitoring data to facilitate collaborative management at the regional scale,2017,Journal of Environmental Management,198,,,248,255,,,10.1016/j.jenvman.2017.04.069,Article,,
"Lindbladh, M., Lindström, Å., Hedwall, P.-O., Felton, A.",Avian diversity in Norway spruce production forests – How variation in structure and composition reveals pathways for improving habitat quality,2017,Forest Ecology and Management,397,,,48,56,,,10.1016/j.foreco.2017.04.029,Article,,
"Calladine, J., Jarrett, D., Wilson, M., Edwards, C.",Stand structure and breeding birds in managed Scots pine forests: Some likely long-term implications for continuous cover forestry,2017,Forest Ecology and Management,397,,,174,184,,,10.1016/j.foreco.2017.04.039,Article,,
"Steven, R., Smart, J.C.R., Morrison, C., Castley, J.G.",Using a choice experiment and birder preferences to guide bird-conservation funding,2017,Conservation Biology,31,4,,818,827,,,10.1111/cobi.12849,Article,,
"Agarwal, S., Marathe, A., Ghate, R., Krishnaswamy, J., Nagendra, H.",Forest protection in Central India: do differences in monitoring by state and local institutions result in diverse social and ecological impacts?,2017,Biodiversity and Conservation,26,9,,2047,2066,,,10.1007/s10531-017-1344-6,Article,,
"Suraci, J.P., Clinchy, M., Mugerwa, B., Delsey, M., Macdonald, D.W., Smith, J.A., Wilmers, C.C., Zanette, L.Y.",A new Automated Behavioural Response system to integrate playback experiments into camera trap studies,2017,Methods in Ecology and Evolution,8,8,,957,964,,,10.1111/2041-210X.12711,Article,,
