Link, Anchor Text
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3098159/, Mitigating amphibian disease: strategies to maintain wild ...
http://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=1227&context=hwi, Commentary Euthanasia Methods in Field Settings for Wildlife ...
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4494361/, A Framework to Evaluate Wildlife Feeding in Research wildlife
http://digitalcommons.usu.edu/hwi/vol1/iss1/21/," ""Comparison of 2 Vegetation-Height Management Practices for ..."
http://ageconsearch.umn.edu/bitstream/32315/1/10020216.pdf, Valuing Wildlife Management: A Utah Deer Herd
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5478067/, Assessing the impact of revegetation and weed control on urban ...
http://digitalcommons.unl.edu/cgi/viewcontent.cgi?article=1006&context=nwrccontraception, Human Dimensions of Contraception in Wildlife Management
http://lib.dr.iastate.edu/rtd/335/," ""The anti-hunting movement--the people involved and their attitudes"
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4984496/, Forest edges have high conservation value for bird communities in ...
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3914921/, Understanding Tourists' Preference for Mammal Species in Private ...
https://espace.library.uq.edu.au/view/UQ:167340/UQ167340_postprint.pdf, 1 Tourists' support for conservation messages and sustainable ...
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3547042/, Innovative Techniques for Estimating Illegal Activities in a Human ...
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4368768/, Maximizing the Wildlife Conservation Value of Road Right-of-Ways ...
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4227862/, Applying evolutionary concepts to wildlife disease ecology and ...
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4000777/, Effects of land use on bird populations and pest control services on ...
http://lib.dr.iastate.edu/etd/13239/," ""Assessment of wildlife value orientations"
http://orgprints.org/2472/, Indicators of biodiversity and conservational wildlife quality on ...
http://lib.dr.iastate.edu/cgi/viewcontent.cgi?article=1334&context=rtd, The anti-hunting movement--the people involved
http://digitalcommons.unl.edu/icwdmbirdcontrol/,Bird Control Seminars Proceedings
http://digitalcommons.unl.edu/cgi/viewcontent.cgi?article=1398&context=gpwdcwp, An Assessment of the Urban Wildlife Problem
http://researchcommons.waikato.ac.nz/handle/10289/2262, Utilising the human dimensions of wildlife management approach to ...
http://uir.unisa.ac.za/handle/10500/23274?show=full, Perception of local community participation in wildlife and tourism ...
http://digitalcommons.unl.edu/cgi/viewcontent.cgi?article=2527&context=icwdm_usdanwrc, Bird Management in Fruit Crops: How We Make Progress
http://digitalcommons.unl.edu/cgi/viewcontent.cgi?article=1018&context=birdstrike2002, Emergency Wildlife Management Response to Protect Evidence ...
http://digitalcommons.unl.edu/cgi/viewcontent.cgi?article=1118&context=hwi, Perceptions of wildlife damage and species conservation: lessons ...
http://epubs.scu.edu.au/cgi/viewcontent.cgi?article=2893&context=tourism_pubs, Applying visitor preference criteria to choose pro-wildlife behaviors ...
http://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=1906&context=etd, Riparian Bird-Habitat Association Models: A Framework for ...
https://repository.up.ac.za/handle/2263/60128,Livestock production and animal health management systems in communal farming areas at the wildlife-livestock interface in South Africa
https://mospace.umsystem.edu/xmlui/handle/10355/5537, Wildlife response to spatial and temporal changes in forest habitat
http://digitalcommons.unl.edu/cgi/viewcontent.cgi?article=2799&context=icwdm_usdanwrc, Economic impacts of bird damage and management in U.S. sweet ...
http://digitalcommons.unl.edu/cgi/viewcontent.cgi?article=1004&context=vpc2, THE ROLE OF PEST CONTROL OPERATORS IN VERTEBRATE ...
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5384163/, Using Social Network Measures in Wildlife Disease Ecology ...
http://dlc.dlib.indiana.edu/dlc/bitstream/handle/10535/6923/wildlife%20comanagement.pdf?sequence=1, Wildlife Co-management defined: The Beverly and Kaminuriak ...
http://digitalcommons.unl.edu/cgi/viewcontent.cgi?article=2799&context=icwdm_usdanwrc, Economic impacts of bird damage and management in U.S. sweet ...
http://digitalcommons.unl.edu/cgi/viewcontent.cgi?article=1004&context=vpc2, THE ROLE OF PEST CONTROL OPERATORS IN VERTEBRATE ...
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2216959/, Contrast gain control in the lower vertebrate retinas [published ...
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2725831/, Wildlife - exotic pets and emerging zoonoses
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4623860/, Limitations of recreational camera traps for wildlife management and ...
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2847921/, Olfactory response termination involves Ca2+-ATPase in vertebrate ...
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2636215/, Ten years of fighting bird flu
http://digitalcommons.unl.edu/cgi/viewcontent.cgi?article=1142&context=icwdm_wdmconfproc, Human Dimensions of Invasive Vertebrate Species Management
https://drum.lib.umd.edu/bitstream/handle/1903/10920/Blank_umd_0117E_11581.pdf;sequence=1, BIRD COMMUNITY RESPONSE TO CONSERVATION RESERVE ...
https://repository.si.edu/bitstream/handle/10088/32020/Zoo%20View%20March%202017%20FINAL%20Anurans.pdf?sequence=1&isAllowed=y,History of Captive Management and Conservation Amphibian Programs Mostly in Zoos and Aquariums. Part I—Anurans
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2636215/, Ten years of fighting bird flu
http://eprints.utas.edu.au/13319/,The response of burrow-nesting petrels and other vulnerable bird species to vertebrate pest management and climate change on sub-Antarctic Macquarie Island
http://digitalcommons.unl.edu/cgi/viewcontent.cgi?article=1773&context=icwdm_usdanwrc, Wildlife Responses to Vegetation Height Management in Cool ...
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2571031/, Populations of migratory bird species that did not show a ...
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4712025/, Reversible Optogenetic Control of Subcellular Protein Localization ...
http://digitalcommons.unl.edu/cgi/viewcontent.cgi?article=1006&context=gpwdcwp, implications of the animal rights movement for wildlife damage ...
http://digitalcommons.unl.edu/cgi/viewcontent.cgi?article=1240&context=icwdmbirdcontrol, bird control methods and devices--comments of the national pest ...
https://dspace.library.uu.nl/bitstream/handle/1874/280079/Attitude%20change%20towards%20wildlife_environmental_education_MvDalum_7_2013.pdf?sequence=1, Attitude change towards wildlife conservation and the role of ...
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3666382/, Neurotransmitter-mediated control of neurogenesis in the adult ...
http://digitalcommons.unl.edu/cgi/viewcontent.cgi?article=1015&context=ewdcc5, interactions between people and wildlife in urbanizing landscapes
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3385729/, Wildlife disease elimination and density dependence
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4227853/, Evolutionary perspectives on wildlife disease: concepts and ...
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3923479/, Detection of Leptospira spp. in wildlife reservoir hosts in Ontario ...
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5357285/, Summarizing US Wildlife Trade with an Eye Toward Assessing the ...
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5160037/, Commissural axon navigation: Control of midline crossing in the ...
http://digitalcommons.unl.edu/cgi/viewcontent.cgi?article=1134&context=gpwdcwp, Pyrotechnics For Bird Control
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4352083/, Effect of Clearcutting Operations on the Survival Rate of a Small ...
http://digitalcommons.unl.edu/cgi/viewcontent.cgi?article=1266&context=usdafsfacpub, Bird response to fire severity and repeated burning in upland ...
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5079583/, Breeding  Early-Successional Bird Response to Forest Harvests
http://digitalcommons.usu.edu/hwi/aimsandscope.html,Human–Wildlife Interactions (HWI) serves the professional needs of the wildlife biologist and manager
